index,Category,%Error
,Lexical,5.70%
,Syntactic,1.27%
,Linker,16.79%
,Abstract-Type Instantiation,2.55%
,Access Control,4.80%
,Constexpr/Enum/Assert/Literal,0.03%
,Construction/Initialization,4.83%
,Deleted/Special Member,11.74%
,Functions/Call Resolution,8.21%
,Operator/Call,0.02%
,Override/Inheritance,0.81%
,Incomplete Type,5.79%
,Symbol/Lookup,27.78%
,Templates/Generics,0.02%
,Type Conversion/Reference Binding,4.54%
,Type Redefinition/Redeclaration,0.67%
,Qualifier/Specifier Misuse,3.99%
,Pointer/Reference Misuse,0.02%
,This/Non-Static Member/Using Misuse,0.43%
