error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
Abstract-Type Instantiation,8.037234042553191,2.2872340425531914,0.2712765957446808,1.148936170212766,0.8776595744680851,1.5106382978723405,0.8297872340425532,331.7778191489362,14289.494787234044
Access Control,6.78030303030303,2.5265151515151514,0.3371212121212121,0.696969696969697,0.5189393939393939,0.7121212121212122,0.8560606060606061,274.1019318181818,7643.059393939394
Constexpr/Enum/Assert/Literal,9.384615384615385,3.769230769230769,0.46153846153846156,3.230769230769231,2.6153846153846154,0.15384615384615385,0.0,418.1007692307693,8093.16923076923
Construction/Initialization,9.368852459016393,2.7581967213114753,0.45491803278688525,1.0327868852459017,0.7950819672131147,0.7172131147540983,1.5163934426229508,384.60749999999996,10935.990286885246
Deleted/Special Member,14.259146341463415,4.0060975609756095,0.6585365853658537,1.3018292682926829,0.8932926829268293,0.9176829268292683,0.6951219512195121,668.3298170731707,31733.581646341463
Functions/Call Resolution,5.423357664233577,1.9416058394160585,0.2956204379562044,0.5875912408759124,0.41605839416058393,1.0218978102189782,0.5875912408759124,229.04671532846714,9648.934160583942
Incomplete Type,7.502212389380531,2.4424778761061945,0.3694690265486726,1.1792035398230087,0.922566371681416,1.1128318584070795,1.1084070796460177,277.0858407079646,7358.778053097346
Lexical,15.938356164383562,4.282778864970646,0.7426614481409002,1.9275929549902153,1.4814090019569472,0.598825831702544,1.2671232876712328,626.9776614481409,21212.755812133073
Linker,21.666666666666668,4.757575757575758,1.121212121212121,2.242424242424242,1.2121212121212122,0.48484848484848486,1.4242424242424243,1168.0875757575757,64851.84272727273
Operator/Call,25.88,6.426666666666667,1.0,2.493333333333333,1.6666666666666667,0.52,0.96,1169.6544000000001,58446.382000000005
Override/Inheritance,7.855721393034826,2.8208955223880596,0.4626865671641791,0.9552238805970149,0.7412935323383084,1.0,0.9800995024875622,323.15402985074627,7773.5448258706465
Pointer/Reference Misuse,1.8,1.4,0.0,0.2,0.0,0.6,0.0,70.378,437.936
Qualifier/Specifier Missuse,4.35064935064935,1.7012987012987013,0.14285714285714285,0.5844155844155844,0.33766233766233766,0.23376623376623376,0.24675324675324675,170.3,6505.975064935065
Symbol/Lookup,8.834394904458598,2.7912243453644727,0.40693559801840057,1.070063694267516,0.821656050955414,0.9893842887473461,0.7360226468506723,370.01244869072895,14129.189426751593
Syntactic,10.766990291262136,2.796116504854369,0.44660194174757284,1.4466019417475728,0.8446601941747572,0.6893203883495146,1.2912621359223302,451.1053398058252,15431.269708737864
Templates/Generics,5.388888888888889,1.7777777777777777,0.3888888888888889,1.1111111111111112,0.7777777777777778,0.6666666666666666,0.5555555555555556,175.20277777777778,2636.0427777777777
This/Non-Static Member/Using Misuse,5.183673469387755,1.816326530612245,0.40816326530612246,0.9591836734693877,0.6122448979591837,1.4081632653061225,0.5918367346938775,159.73408163265307,2664.5308163265304
Type Conversion/Reference Binding,9.303886925795053,2.590106007067138,0.3745583038869258,1.1802120141342756,0.950530035335689,0.9717314487632509,1.0141342756183747,390.7945583038869,12429.28819787986
Type Redefinition/Redeclaration,16.058823529411764,5.088235294117647,0.7647058823529411,1.9705882352941178,1.2058823529411764,0.6176470588235294,1.3823529411764706,684.1267647058824,25520.07941176471
