index,Category,#Error,%Error
,Lexical,1065,3.994898533328332%
,Syntactic,318,1.1928429423459244%
,Linker,179,0.6714430398739638%
,Semantic,25097,94.14081548445178%
,Abstract-Type Instantiation,1401,5.255260887505158%
,Access Control,1591,5.967965790164673%
,Constexpr/Enum/Assert/Literal,23,0.08627480400615177%
,Construction/Initialization,1429,5.36029108368656%
,Deleted/Special Member,2155,8.083574027532915%
,Functions/Call Resolution,1521,5.7053902997111665%
,Operator/Call,283,1.061555197119172%
,Override/Inheritance,543,2.0368355902321915%
,Incomplete Type,4115,15.435687760231067%
,Symbol/Lookup,9422,35.34266101504183%
,Templates/Generics,125,0.46888480438125957%
,Type Conversion/Reference Binding,1543,5.7879140252822685%
,Type Redefinition/Redeclaration,174,0.6526876476987133%
,Qualifier/Specifier Missuse,576,2.160621178588844%
,Pointer/Reference Misuse,9,0.03375970591545069%
,This/Non-Static Member/Using Misuse,187,0.7014516673543644%
