log,error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,project
test_58.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,3,1,JsonBox
test_16.log,This/Non-Static Member/Using Misuse,4,1,0,1,1,0,1,JsonBox
test_23.log,This/Non-Static Member/Using Misuse,32,9,3,1,1,3,6,JsonBox
test_43.log,PASS,3,2,0,1,1,1,0,JsonBox
test_2.log,PASS,44,13,2,1,1,1,0,JsonBox
test_37.log,This/Non-Static Member/Using Misuse,3,2,0,0,0,0,0,JsonBox
test_41.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_29.log,PASS,8,2,1,1,1,1,1,JsonBox
test_68.log,Lexical,18,4,3,2,2,1,1,JsonBox
test_15.log,PASS,31,8,2,1,1,0,1,JsonBox
test_66.log,PASS,11,2,1,3,1,0,1,JsonBox
test_47.log,PASS,3,3,0,1,0,1,0,JsonBox
test_35.log,PASS,3,1,0,0,0,0,0,JsonBox
test_39.log,PASS,3,1,0,0,0,0,0,JsonBox
test_24.log,Functions/Call Resolution,3,1,0,1,1,0,1,JsonBox
test_14.log,PASS,3,1,0,0,0,0,1,JsonBox
test_22.log,PASS,4,1,0,1,0,0,1,JsonBox
test_72.log,Functions/Call Resolution,25,7,1,1,1,0,1,JsonBox
test_63.log,PASS,120,43,12,1,1,4,9,JsonBox
test_51.log,PASS,3,1,0,0,0,0,1,JsonBox
test_18.log,Symbol/Lookup,4,1,0,1,0,0,0,JsonBox
test_8.log,PASS,3,1,0,0,0,0,0,JsonBox
test_50.log,This/Non-Static Member/Using Misuse,3,3,0,1,0,1,0,JsonBox
test_59.log,PASS,3,2,0,1,0,1,0,JsonBox
test_6.log,PASS,6,4,1,0,0,0,0,JsonBox
test_62.log,PASS,4,1,0,1,1,0,1,JsonBox
test_27.log,PASS,3,1,0,1,1,1,1,JsonBox
test_26.log,PASS,3,2,0,1,1,1,2,JsonBox
test_55.log,Symbol/Lookup,9,2,1,1,1,2,1,JsonBox
test_55.log,This/Non-Static Member/Using Misuse,9,2,1,1,1,2,1,JsonBox
test_67.log,Symbol/Lookup,32,9,2,2,2,4,9,JsonBox
test_71.log,PASS,3,1,0,1,1,2,1,JsonBox
test_48.log,Symbol/Lookup,9,2,1,1,0,1,1,JsonBox
test_69.log,PASS,21,4,3,2,2,1,2,JsonBox
test_17.log,Symbol/Lookup,4,1,0,1,0,0,1,JsonBox
test_17.log,This/Non-Static Member/Using Misuse,4,1,0,1,0,0,1,JsonBox
test_64.log,PASS,10,2,1,1,1,0,1,JsonBox
test_61.log,PASS,5,1,0,0,0,1,1,JsonBox
test_46.log,PASS,3,1,0,0,0,3,1,JsonBox
test_13.log,This/Non-Static Member/Using Misuse,8,3,1,1,0,3,0,JsonBox
test_31.log,Operator/Call,12,4,1,1,1,0,1,JsonBox
