,index,error_type,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
0,loc,This/Non-Static Member/Using Misuse,1.977501e-01,2.366178e-01,8.357366e-01,4.033031e-01,-2.660122e-01,6.615125e-01
1,cc,This/Non-Static Member/Using Misuse,-1.758751e-01,1.524523e-01,-1.153640e+00,2.486477e-01,-4.746761e-01,1.229259e-01
2,nested_depth,This/Non-Static Member/Using Misuse,3.025584e-02,8.999051e-02,3.362114e-01,7.367114e-01,-1.461223e-01,2.066340e-01
3,params,This/Non-Static Member/Using Misuse,-1.844548e-01,1.233838e-01,-1.494968e+00,1.349228e-01,-4.262826e-01,5.737298e-02
4,object_params,This/Non-Static Member/Using Misuse,7.249253e-02,1.228874e-01,5.899104e-01,5.552507e-01,-1.683623e-01,3.133473e-01
5,fan_in,This/Non-Static Member/Using Misuse,-7.868175e-04,4.345824e-02,-1.810514e-02,9.855550e-01,-8.596341e-02,8.438977e-02
6,fan_out,This/Non-Static Member/Using Misuse,1.737816e-01,7.999349e-02,2.172446e+00,2.982202e-02,1.699720e-02,3.305659e-01
7,halstead_effort,This/Non-Static Member/Using Misuse,-3.699375e-01,6.079463e-01,-6.085036e-01,5.428535e-01,-1.561490e+00,8.216154e-01
8,loc,Operator/Call,2.694399e-01,1.276940e-01,2.110044e+00,3.485458e-02,1.916430e-02,5.197155e-01
9,cc,Operator/Call,-1.935310e-01,9.789841e-02,-1.976856e+00,4.805795e-02,-3.854084e-01,-1.653664e-03
10,nested_depth,Operator/Call,2.290708e-01,6.599250e-02,3.471164e+00,5.182074e-04,9.972787e-02,3.584137e-01
11,params,Operator/Call,5.529149e-02,8.456586e-02,6.538275e-01,5.132229e-01,-1.104546e-01,2.210375e-01
12,object_params,Operator/Call,1.431037e-01,8.144119e-02,1.757142e+00,7.889362e-02,-1.651807e-02,3.027255e-01
13,fan_in,Operator/Call,-1.759902e-01,1.071769e-01,-1.642053e+00,1.005790e-01,-3.860531e-01,3.407269e-02
14,fan_out,Operator/Call,-3.761517e-02,7.367902e-02,-5.105276e-01,6.096819e-01,-1.820234e-01,1.067930e-01
15,halstead_effort,Operator/Call,-1.615602e-01,2.085543e-01,-7.746673e-01,4.385363e-01,-5.703191e-01,2.471987e-01
16,loc,Lexical,7.909595e-01,7.299546e-02,1.083574e+01,2.330840e-27,6.478911e-01,9.340280e-01
17,cc,Lexical,-8.874760e-02,4.226007e-02,-2.100035e+00,3.572580e-02,-1.715758e-01,-5.919392e-03
18,nested_depth,Lexical,-1.391507e-03,2.920392e-02,-4.764795e-02,9.619968e-01,-5.863014e-02,5.584713e-02
19,params,Lexical,5.542689e-03,3.606755e-02,1.536753e-01,8.778658e-01,-6.514840e-02,7.623378e-02
20,object_params,Lexical,2.643505e-01,3.468461e-02,7.621551e+00,2.506465e-14,1.963699e-01,3.323311e-01
21,fan_in,Lexical,-1.651092e-01,3.683045e-02,-4.482954e+00,7.361664e-06,-2.372956e-01,-9.292287e-02
22,fan_out,Lexical,6.654991e-02,2.904904e-02,2.290950e+00,2.196629e-02,9.614836e-03,1.234850e-01
23,halstead_effort,Lexical,-2.625578e+00,2.398202e-01,-1.094811e+01,6.784705e-28,-3.095617e+00,-2.155539e+00
24,loc,Functions/Call Resolution,-6.672279e-02,1.396098e-01,-4.779234e-01,6.327047e-01,-3.403530e-01,2.069074e-01
25,cc,Functions/Call Resolution,-1.889143e-02,8.661970e-02,-2.180962e-01,8.273542e-01,-1.886629e-01,1.508801e-01
26,nested_depth,Functions/Call Resolution,1.879015e-02,5.745458e-02,3.270435e-01,7.436350e-01,-9.381876e-02,1.313990e-01
27,params,Functions/Call Resolution,-1.787787e-01,7.999289e-02,-2.234932e+00,2.542182e-02,-3.355619e-01,-2.199548e-02
28,object_params,Functions/Call Resolution,1.482402e-01,7.821930e-02,1.895187e+00,5.806767e-02,-5.066834e-03,3.015472e-01
29,fan_in,Functions/Call Resolution,-1.096379e-01,5.083964e-02,-2.156544e+00,3.104119e-02,-2.092818e-01,-9.994075e-03
