index,Category,%Error
,Lexical,0.00%
,Syntactic,15.08%
,Linker,0.00%
,Abstract-Type Instantiation,0.00%
,Access Control,0.00%
,Constexpr/Enum/Assert/Literal,0.00%
,Construction/Initialization,0.00%
,Deleted/Special Member,0.00%
,Functions/Call Resolution,5.03%
,Operator/Call,2.51%
,Override/Inheritance,6.53%
,Incomplete Type,0.00%
,Symbol/Lookup,66.33%
,Templates/Generics,0.00%
,Type Conversion/Reference Binding,0.00%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,1.76%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,2.76%
