file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_120.cpp,58,13,13,21,17,2,0,4.461538461538462,1.0,1.6153846153846154
test_91.cpp,60,10,13,37,16,2,0,6.0,1.3,3.7
test_486.cpp,33,6,6,8,4,2,0,5.5,1.0,1.3333333333333333
test_231.cpp,92,10,18,48,14,6,0,9.2,1.8,4.8
test_113.cpp,25,4,4,7,4,3,0,6.25,1.0,1.75
test_363.cpp,44,3,4,14,8,2,0,14.666666666666666,1.3333333333333333,4.666666666666667
test_77.cpp,65,12,13,40,14,1,0,5.416666666666667,1.0833333333333333,3.3333333333333335
test_180.cpp,24,4,4,8,5,2,0,6.0,1.0,2.0
test_133.cpp,27,3,3,8,6,3,0,9.0,1.0,2.6666666666666665
test_324.cpp,95,10,0,11,3,4,0,9.5,0.0,1.1
test_7.cpp,46,9,10,27,10,8,0,5.111111111111111,1.1111111111111112,3.0
test_314.cpp,42,8,6,15,4,2,0,5.25,0.75,1.875
test_169.cpp,31,4,4,2,4,1,0,7.75,1.0,0.5
test_67.cpp,52,8,12,19,10,2,0,6.5,1.5,2.375
test_538.cpp,29,4,13,13,3,3,0,7.25,3.25,3.25
test_47.cpp,24,4,4,8,4,3,0,6.0,1.0,2.0
test_594.cpp,75,9,9,29,10,14,0,8.333333333333334,1.0,3.2222222222222223
test_219.cpp,96,12,12,64,13,3,0,8.0,1.0,5.333333333333333
test_115.cpp,24,3,5,9,4,2,0,8.0,1.6666666666666667,3.0
test_376.cpp,54,5,19,20,9,3,0,10.8,3.8,4.0
test_520.cpp,44,9,11,28,6,4,0,4.888888888888889,1.2222222222222223,3.111111111111111
test_71.cpp,54,10,17,39,16,1,0,5.4,1.7,3.9
test_418.cpp,51,6,0,6,2,4,0,8.5,0.0,1.0
test_123.cpp,28,3,3,9,7,1,0,9.333333333333334,1.0,3.0
test_401.cpp,76,19,19,34,25,4,0,4.0,1.0,1.7894736842105263
test_374.cpp,85,12,13,51,17,3,0,7.083333333333333,1.0833333333333333,4.25
test_126.cpp,67,15,15,36,19,1,0,4.466666666666667,1.0,2.4
test_178.cpp,36,8,8,15,10,2,0,4.5,1.0,1.875
test_485.cpp,56,6,16,20,4,2,0,9.333333333333334,2.6666666666666665,3.3333333333333335
test_156.cpp,83,9,22,62,22,1,0,9.222222222222221,2.4444444444444446,6.888888888888889
test_122.cpp,68,13,19,45,18,2,0,5.230769230769231,1.4615384615384615,3.4615384615384617
test_527.cpp,79,11,22,33,6,5,0,7.181818181818182,2.0,3.0
test_187.cpp,27,5,5,5,3,1,0,5.4,1.0,1.0
test_181.cpp,52,8,15,34,11,2,0,6.5,1.875,4.25
test_48.cpp,24,3,3,6,4,3,0,8.0,1.0,2.0
test_380.cpp,99,12,23,61,16,4,0,8.25,1.9166666666666667,5.083333333333333
test_387.cpp,45,5,19,33,8,2,0,9.0,3.8,6.6
test_205.cpp,77,9,32,9,3,2,0,8.555555555555555,3.5555555555555554,1.0
test_94.cpp,76,11,13,44,19,3,0,6.909090909090909,1.1818181818181819,4.0
test_506.cpp,96,8,13,35,7,4,0,12.0,1.625,4.375
test_305.cpp,24,4,4,4,3,1,0,6.0,1.0,1.0
test_177.cpp,48,10,11,22,10,2,0,4.8,1.1,2.2
test_256.cpp,59,8,14,26,8,9,0,7.375,1.75,3.25
test_11.cpp,106,16,21,47,18,16,0,6.625,1.3125,2.9375
test_291.cpp,24,4,4,8,4,2,0,6.0,1.0,2.0
test_68.cpp,49,6,8,12,8,1,0,8.166666666666666,1.3333333333333333,2.0
test_165.cpp,71,13,13,39,18,2,0,5.461538461538462,1.0,3.0
test_238.cpp,23,2,2,7,8,2,0,11.5,1.0,3.5
test_373.cpp,55,9,9,26,12,3,0,6.111111111111111,1.0,2.888888888888889
test_46.cpp,36,6,6,6,4,4,0,6.0,1.0,1.0
test_596.cpp,101,16,21,45,18,16,0,6.3125,1.3125,2.8125
test_601.cpp,69,9,22,44,10,2,0,7.666666666666667,2.4444444444444446,4.888888888888889
test_585.cpp,70,12,17,41,18,2,0,5.833333333333333,1.4166666666666667,3.4166666666666665
test_164.cpp,88,18,21,59,19,3,0,4.888888888888889,1.1666666666666667,3.2777777777777777
test_170.cpp,29,3,3,3,5,1,0,9.666666666666666,1.0,1.0
test_182.cpp,19,3,3,8,5,2,0,6.333333333333333,1.0,2.6666666666666665
test_171.cpp,54,17,17,0,2,1,0,3.176470588235294,1.0,0.0
test_241.cpp,33,5,5,13,8,3,0,6.6,1.0,2.6
test_92.cpp,83,12,16,42,18,1,0,6.916666666666667,1.3333333333333333,3.5
test_203.cpp,72,9,11,29,9,3,0,8.0,1.2222222222222223,3.2222222222222223
test_21.cpp,27,5,5,15,5,2,0,5.4,1.0,3.0
test_570.cpp,44,9,9,19,4,2,0,4.888888888888889,1.0,2.111111111111111
test_6.cpp,132,26,42,59,25,1,0,5.076923076923077,1.6153846153846154,2.269230769230769
test_250.cpp,48,5,10,25,12,6,0,9.6,2.0,5.0
test_23.cpp,117,29,31,74,33,3,0,4.0344827586206895,1.0689655172413792,2.5517241379310347
test_114.cpp,98,18,25,56,23,2,0,5.444444444444445,1.3888888888888888,3.111111111111111
test_118.cpp,23,4,5,14,5,2,0,5.75,1.25,3.5
test_244.cpp,83,16,20,38,23,5,0,5.1875,1.25,2.375
test_407.cpp,60,9,10,20,5,3,0,6.666666666666667,1.1111111111111112,2.2222222222222223
test_163.cpp,64,11,18,45,14,3,0,5.818181818181818,1.6363636363636365,4.090909090909091
test_413.cpp,68,7,17,52,12,5,0,9.714285714285714,2.4285714285714284,7.428571428571429
test_484.cpp,35,6,6,6,3,2,0,5.833333333333333,1.0,1.0
test_507.cpp,88,8,8,98,15,11,0,11.0,1.0,12.25
test_125.cpp,26,4,6,17,5,2,0,6.5,1.5,4.25
test_75.cpp,87,15,24,58,22,1,0,5.8,1.6,3.8666666666666667
test_70.cpp,55,10,13,31,18,1,0,5.5,1.3,3.1
test_34.cpp,29,5,5,15,8,3,0,5.8,1.0,3.0
test_371.cpp,63,12,12,34,18,3,0,5.25,1.0,2.8333333333333335
test_166.cpp,51,7,8,27,13,2,0,7.285714285714286,1.1428571428571428,3.857142857142857
test_471.cpp,64,10,10,22,17,4,0,6.4,1.0,2.2
test_304.cpp,28,5,5,10,3,2,0,5.6,1.0,2.0
test_381.cpp,92,7,7,45,9,2,0,13.142857142857142,1.0,6.428571428571429
test_207.cpp,72,15,18,19,3,0,0,4.8,1.2,1.2666666666666666
test_367.cpp,52,6,6,9,7,3,0,8.666666666666666,1.0,1.5
test_78.cpp,32,5,5,17,9,1,0,6.4,1.0,3.4
test_476.cpp,62,6,16,27,11,3,0,10.333333333333334,2.6666666666666665,4.5
test_132.cpp,32,8,8,16,4,3,0,4.0,1.0,2.0
test_88.cpp,48,10,10,25,15,2,0,4.8,1.0,2.5
test_74.cpp,59,10,14,31,10,1,0,5.9,1.4,3.1
test_461.cpp,30,5,5,13,13,1,0,6.0,1.0,2.6
test_261.cpp,64,10,10,15,4,1,0,6.4,1.0,1.5
test_474.cpp,58,8,9,20,6,4,0,7.25,1.125,2.5
test_264.cpp,41,8,8,8,3,2,0,5.125,1.0,1.0
test_79.cpp,81,14,18,49,21,1,0,5.785714285714286,1.2857142857142858,3.5
test_95.cpp,77,11,28,59,16,3,0,7.0,2.5454545454545454,5.363636363636363
test_121.cpp,29,4,4,10,7,1,0,7.25,1.0,2.5
test_89.cpp,67,11,14,41,16,3,0,6.090909090909091,1.2727272727272727,3.727272727272727
test_375.cpp,58,8,20,55,7,2,0,7.25,2.5,6.875
test_127.cpp,32,5,6,19,5,2,0,6.4,1.2,3.8
test_117.cpp,21,3,3,8,5,3,0,7.0,1.0,2.6666666666666665
test_597.cpp,81,15,18,44,19,16,0,5.4,1.2,2.933333333333333
test_167.cpp,60,9,10,35,16,3,0,6.666666666666667,1.1111111111111112,3.888888888888889
test_1.cpp,105,19,19,60,10,20,0,5.526315789473684,1.0,3.1578947368421053
test_384.cpp,37,4,4,4,5,3,0,9.25,1.0,1.0
test_463.cpp,53,10,10,21,14,1,0,5.3,1.0,2.1
test_263.cpp,45,7,14,27,8,10,0,6.428571428571429,2.0,3.857142857142857
test_179.cpp,30,6,6,11,10,2,0,5.0,1.0,1.8333333333333333
test_523.cpp,33,5,5,8,4,3,0,6.6,1.0,1.6
test_568.cpp,40,6,9,24,9,2,0,6.666666666666667,1.5,4.0
test_139.cpp,50,9,10,29,16,3,0,5.555555555555555,1.1111111111111112,3.2222222222222223
test_128.cpp,33,3,3,8,7,2,0,11.0,1.0,2.6666666666666665
test_472.cpp,53,7,8,24,8,7,0,7.571428571428571,1.1428571428571428,3.4285714285714284
test_575.cpp,38,3,5,19,9,6,0,12.666666666666666,1.6666666666666667,6.333333333333333
test_370.cpp,35,6,10,22,9,1,0,5.833333333333333,1.6666666666666667,3.6666666666666665
test_97.cpp,69,9,19,49,19,3,0,7.666666666666667,2.111111111111111,5.444444444444445
test_112.cpp,57,10,13,33,17,2,0,5.7,1.3,3.3
test_457.cpp,64,8,12,16,5,1,0,8.0,1.5,2.0
test_566.cpp,44,6,6,6,3,1,0,7.333333333333333,1.0,1.0
test_66.cpp,35,5,10,12,8,2,0,7.0,2.0,2.4
test_532.cpp,43,6,15,31,5,2,0,7.166666666666667,2.5,5.166666666666667
test_389.cpp,40,5,11,28,8,2,0,8.0,2.2,5.6
test_515.cpp,77,7,32,39,8,3,0,11.0,4.571428571428571,5.571428571428571
test_234.cpp,84,8,14,39,12,4,0,10.5,1.75,4.875
test_232.cpp,54,7,9,18,13,7,0,7.714285714285714,1.2857142857142858,2.5714285714285716
test_129.cpp,83,18,18,36,28,1,0,4.611111111111111,1.0,2.0
test_316.cpp,32,6,0,7,3,2,0,5.333333333333333,0.0,1.1666666666666667
