index,Category,#Error
,Lexical,77
,Syntactic,224
,Linker,84
,Abstract-Type Instantiation,14
,Access Control,546
,Constexpr/Enum/Assert/Literal,2
,Construction/Initialization,72
,Deleted/Special Member,6
,Functions/Call Resolution,58
,Operator/Call,22
,Override/Inheritance,115
,Incomplete Type,93
,Symbol/Lookup,3264
,Templates/Generics,18
,Type Conversion/Reference Binding,389
,Type Redefinition/Redeclaration,5
,Qualifier/Specifier Misuse,7
,Pointer/Reference Misuse,3
,This/Non-Static Member/Using Misuse,94
