index,Category,%Error
,Lexical,1.51%
,Syntactic,4.40%
,Linker,1.65%
,Abstract-Type Instantiation,0.27%
,Access Control,10.72%
,Constexpr/Enum/Assert/Literal,0.04%
,Construction/Initialization,1.41%
,Deleted/Special Member,0.12%
,Functions/Call Resolution,1.14%
,Operator/Call,0.43%
,Override/Inheritance,2.26%
,Incomplete Type,1.83%
,Symbol/Lookup,64.09%
,Templates/Generics,0.35%
,Type Conversion/Reference Binding,7.64%
,Type Redefinition/Redeclaration,0.10%
,Qualifier/Specifier Misuse,0.14%
,Pointer/Reference Misuse,0.06%
,This/Non-Static Member/Using Misuse,1.85%
