Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
db/builder.cc                            36                36     0.00%           1                 1     0.00%          51                51     0.00%          24                24     0.00%
db/c.cc                                 139               138     0.72%          86                85     1.16%         339               336     0.88%          32                32     0.00%
db/db_impl.cc                           858               790     7.93%          52                43    17.31%        1185              1079     8.95%         522               501     4.02%
db/db_impl.h                              6                 2    66.67%           3                 2    33.33%           9                 8    11.11%           0                 0         -
db/db_iter.cc                           190               190     0.00%          18                18     0.00%         198               198     0.00%          87                87     0.00%
db/dbformat.cc                           81                63    22.22%          12                 7    41.67%          95                55    42.11%          34                29    14.71%
db/dbformat.h                            27                17    37.04%          20                14    30.00%          49                40    18.37%           4                 3    25.00%
db/dumpfile.cc                           56                56     0.00%          11                11     0.00%         169               169     0.00%          38                38     0.00%
db/filename.cc                          106                42    60.38%          12                 2    83.33%          95                12    87.37%          44                11    75.00%
db/log_reader.cc                        109               109     0.00%           9                 9     0.00%         189               189     0.00%          76                76     0.00%
db/log_writer.cc                         76                34    55.26%           6                 1    83.33%          69                15    78.26%          32                16    50.00%
db/memtable.cc                           48                48     0.00%          20                20     0.00%          78                78     0.00%          14                14     0.00%
db/memtable.h                            14                14     0.00%           3                 3     0.00%           9                 9     0.00%           4                 4     0.00%
db/repair.cc                            148                85    42.57%          14                 5    64.29%         323               201    37.77%         100                68    32.00%
db/skiplist.h                           181               181     0.00%          23                23     0.00%         149               149     0.00%          69                69     0.00%
db/snapshot.h                            48                44     8.33%           8                 6    25.00%          35                30    14.29%          12                12     0.00%
db/table_cache.cc                        42                36    14.29%           8                 6    25.00%          80                75     6.25%          20                20     0.00%
db/version_edit.cc                      104                57    45.19%           6                 2    66.67%         210                92    56.19%          94                47    50.00%
db/version_edit.h                        14                 4    71.43%          11                 4    63.64%          37                18    51.35%           0                 0         -
db/version_set.cc                       862               811     5.92%          76                70     7.89%        1171              1121     4.27%         480               469     2.29%
db/version_set.h                         37                28    24.32%          16                15     6.25%          33                25    24.24%           8                 8     0.00%
db/write_batch.cc                        58                27    53.45%          18                 4    77.78%          95                31    67.37%          22                12    45.45%
db/write_batch_internal.h                 2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
helpers/memenv/memenv.cc                128               128     0.00%          41                41     0.00%         239               239     0.00%          60                60     0.00%
include/leveldb/cache.h                   2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/leveldb/db.h                      3                 2    33.33%           3                 2    33.33%           3                 2    33.33%           0                 0         -
include/leveldb/env.h                    27                21    22.22%          26                21    19.23%          60                53    11.67%           0                 0         -
include/leveldb/iterator.h                2                 2     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
include/leveldb/options.h                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/leveldb/slice.h                  55                11    80.00%          15                 1    93.33%          40                 1    97.50%          20                 2    90.00%
include/leveldb/status.h                 28                 1    96.43%          15                 0   100.00%          38                 0   100.00%           8                 1    87.50%
include/leveldb/table.h                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
include/leveldb/table_builder.h           1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
port/port_stdcxx.h                       26                15    42.31%          17                10    41.18%         127               114    10.24%           2                 1    50.00%
table/block.cc                          192               192     0.00%          21                21     0.00%         190               190     0.00%          89                89     0.00%
table/block.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
table/block_builder.cc                   66                66     0.00%           5                 5     0.00%          52                52     0.00%          22                22     0.00%
table/block_builder.h                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
table/filter_block.cc                    51                51     0.00%           7                 7     0.00%          68                68     0.00%          24                24     0.00%
table/format.cc                          78                64    17.95%           5                 3    40.00%         126               115     8.73%          44                40     9.09%
table/format.h                           12                12     0.00%          10                10     0.00%          10                10     0.00%           0                 0         -
table/iterator.cc                        67                67     0.00%          16                16     0.00%          50                50     0.00%          12                12     0.00%
table/iterator_wrapper.h                 94                94     0.00%          15                15     0.00%          57                57     0.00%          20                20     0.00%
table/merger.cc                         128               128     0.00%          14                14     0.00%         125               125     0.00%          62                62     0.00%
table/table.cc                           91                91     0.00%          12                12     0.00%         193               193     0.00%          68                68     0.00%
table/table_builder.cc                  169               169     0.00%          13                13     0.00%         181               181     0.00%          78                78     0.00%
table/two_level_iterator.cc             104               104     0.00%          17                17     0.00%          98                98     0.00%          52                52     0.00%
util/arena.cc                            32                 7    78.12%           5                 0   100.00%          43                 0   100.00%          11                 2    81.82%
util/arena.h                              2                 2     0.00%           2                 2     0.00%          16                16     0.00%           0                 0         -
util/bloom.cc                            32                32     0.00%           6                 6     0.00%          49                49     0.00%          18                18     0.00%
util/cache.cc                           211               181    14.22%          36                26    27.78%         229               195    14.85%          80                73     8.75%
util/coding.cc                           58                 7    87.93%          13                 2    84.62%         130                17    86.92%          32                 8    75.00%
util/coding.h                            10                 0   100.00%           5                 0   100.00%          46                 0   100.00%           4                 1    75.00%
util/comparator.cc                       31                27    12.90%           7                 3    57.14%          38                31    18.42%          16                16     0.00%
util/crc32c.cc                           92                10    89.13%           4                 0   100.00%          89                10    88.76%          34                 4    88.24%
util/crc32c.h                             3                 1    66.67%           3                 1    66.67%           8                 4    50.00%           0                 0         -
util/env.cc                              43                19    55.81%          18                 7    61.11%          71                38    46.48%          19                13    31.58%
util/env_posix.cc                       412               265    35.68%          65                28    56.92%         503               282    43.94%         144               103    28.47%
util/filter_policy.cc                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
util/hash.cc                             13                13     0.00%           1                 1     0.00%          27                27     0.00%          12                12     0.00%
util/logging.cc                          29                 4    86.21%           5                 1    80.00%          50                12    76.00%          18                 6    66.67%
util/mutexlock.h                          3                 3     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
util/no_destructor.h                      2                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
util/options.cc                           3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
util/posix_logger.h                      71                38    46.48%           3                 0   100.00%          62                11    82.26%          25                13    48.00%
util/random.h                             5                 5     0.00%           5                 5     0.00%          30                30     0.00%           0                 0         -
util/status.cc                           28                 7    75.00%           3                 0   100.00%          61                 8    86.89%          22                 3    86.36%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                  5651              4658    17.57%         883               652    26.16%        7813              6275    19.69%        2712              2343    13.61%
