file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_120.cpp,21,1,1,5,5,3,2,21.0,1.0,5.0
test_100.cpp,86,7,22,72,18,10,0,12.285714285714286,3.142857142857143,10.285714285714286
test_91.cpp,43,5,6,16,10,2,0,8.6,1.2,3.2
test_272.cpp,20,2,2,6,5,1,0,10.0,1.0,3.0
test_76.cpp,82,11,13,26,22,10,0,7.454545454545454,1.1818181818181819,2.3636363636363638
test_231.cpp,72,4,16,37,13,7,5,18.0,4.0,9.25
test_113.cpp,44,4,8,33,15,2,4,11.0,2.0,8.25
test_153.cpp,50,5,5,24,12,13,0,10.0,1.0,4.8
test_363.cpp,69,9,9,42,21,3,2,7.666666666666667,1.0,4.666666666666667
test_77.cpp,106,20,20,45,31,9,0,5.3,1.0,2.25
test_222.cpp,73,8,9,25,16,4,0,9.125,1.125,3.125
test_450.cpp,47,5,9,20,10,4,0,9.4,1.8,4.0
test_451.cpp,54,4,10,31,17,2,5,13.5,2.5,7.75
test_198.cpp,63,6,8,35,14,10,7,10.5,1.3333333333333333,5.833333333333333
test_193.cpp,74,6,11,28,15,8,7,12.333333333333334,1.8333333333333333,4.666666666666667
test_138.cpp,39,4,4,21,14,1,0,9.75,1.0,5.25
test_223.cpp,72,4,11,45,22,3,4,18.0,2.75,11.25
test_190.cpp,43,4,8,26,11,4,8,10.75,2.0,6.5
test_396.cpp,40,5,5,18,7,3,0,8.0,1.0,3.6
test_188.cpp,40,5,6,20,17,6,7,8.0,1.2,4.0
test_134.cpp,116,10,18,90,20,34,8,11.6,1.8,9.0
test_180.cpp,57,3,8,34,15,3,0,19.0,2.6666666666666665,11.333333333333334
test_133.cpp,47,4,7,36,19,6,3,11.75,1.75,9.0
test_470.cpp,43,4,8,30,13,11,4,10.75,2.0,7.5
test_325.cpp,83,5,11,37,19,6,9,16.6,2.2,7.4
test_324.cpp,123,7,20,97,21,9,12,17.571428571428573,2.857142857142857,13.857142857142858
test_160.cpp,141,8,29,111,18,10,0,17.625,3.625,13.875
test_360.cpp,42,4,7,22,16,5,5,10.5,1.75,5.5
test_295.cpp,44,4,4,16,13,5,5,11.0,1.0,4.0
test_235.cpp,31,2,4,12,11,3,3,15.5,2.0,6.0
test_218.cpp,42,4,12,29,14,3,0,10.5,3.0,7.25
