index,Category,#Error
,Lexical,50
,Syntactic,197
,Linker,22
,Abstract-Type Instantiation,109
,Access Control,199
,Constexpr/Enum/Assert/Literal,28
,Construction/Initialization,96
,Deleted/Special Member,104
,Functions/Call Resolution,65
,Operator/Call,33
,Override/Inheritance,182
,Incomplete Type,142
,Symbol/Lookup,1673
,Templates/Generics,4
,Type Conversion/Reference Binding,464
,Type Redefinition/Redeclaration,1
,Qualifier/Specifier Misuse,287
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,16
