index,Category,%Error
,Lexical,1.36%
,Syntactic,5.36%
,Linker,0.60%
,Abstract-Type Instantiation,2.97%
,Access Control,5.42%
,Constexpr/Enum/Assert/Literal,0.76%
,Construction/Initialization,2.61%
,Deleted/Special Member,2.83%
,Functions/Call Resolution,1.77%
,Operator/Call,0.90%
,Override/Inheritance,4.96%
,Incomplete Type,3.87%
,Symbol/Lookup,45.56%
,Templates/Generics,0.11%
,Type Conversion/Reference Binding,12.64%
,Type Redefinition/Redeclaration,0.03%
,Qualifier/Specifier Misuse,7.82%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.44%
