file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,48,4,8,32,8,5,20,12.0,2.0,8.0
test_738.cpp,107,31,31,57,41,4,0,3.4516129032258065,1.0,1.8387096774193548
test_120.cpp,29,2,1,2,3,5,0,14.5,0.5,1.0
test_995.cpp,29,6,6,15,13,3,0,4.833333333333333,1.0,2.5
test_100.cpp,68,16,16,22,4,2,0,4.25,1.0,1.375
test_793.cpp,35,2,2,12,13,6,2,17.5,1.0,6.0
test_723.cpp,40,8,8,14,13,5,0,5.0,1.0,1.75
test_91.cpp,95,22,22,32,8,2,0,4.318181818181818,1.0,1.4545454545454546
test_270.cpp,29,5,5,10,6,1,0,5.8,1.0,2.0
test_272.cpp,17,3,3,3,3,1,0,5.666666666666667,1.0,1.0
test_660.cpp,37,4,4,12,8,1,0,9.25,1.0,3.0
test_676.cpp,48,7,7,21,5,2,0,6.857142857142857,1.0,3.0
test_577.cpp,57,6,10,36,12,4,0,9.5,1.6666666666666667,6.0
test_1049.cpp,31,5,7,17,8,7,0,6.2,1.4,3.4
test_76.cpp,30,3,3,11,7,5,0,10.0,1.0,3.6666666666666665
test_875.cpp,26,3,0,4,3,3,0,8.666666666666666,0.0,1.3333333333333333
test_702.cpp,50,13,0,24,9,2,0,3.8461538461538463,0.0,1.8461538461538463
test_936.cpp,72,8,28,56,10,1,0,9.0,3.5,7.0
test_231.cpp,29,5,5,9,6,5,0,5.8,1.0,1.8
test_981.cpp,54,5,11,36,13,7,10,10.8,2.2,7.2
test_997.cpp,60,9,9,31,15,5,0,6.666666666666667,1.0,3.4444444444444446
test_571.cpp,28,5,5,10,9,3,0,5.6,1.0,2.0
test_713.cpp,81,18,18,50,18,3,0,4.5,1.0,2.7777777777777777
test_525.cpp,45,8,6,16,8,4,0,5.625,0.75,2.0
test_804.cpp,177,22,44,147,39,21,66,8.045454545454545,2.0,6.681818181818182
test_113.cpp,46,7,14,31,10,1,0,6.571428571428571,2.0,4.428571428571429
test_153.cpp,64,5,10,55,10,2,8,12.8,2.0,11.0
test_779.cpp,37,4,8,33,11,3,8,9.25,2.0,8.25
test_663.cpp,41,7,9,34,6,9,0,5.857142857142857,1.2857142857142858,4.857142857142857
test_785.cpp,46,5,6,20,8,5,8,9.2,1.2,4.0
test_45.cpp,46,8,8,13,11,3,0,5.75,1.0,1.625
test_675.cpp,57,7,13,25,9,9,0,8.142857142857142,1.8571428571428572,3.5714285714285716
test_363.cpp,43,7,1,9,6,3,0,6.142857142857143,0.14285714285714285,1.2857142857142858
test_1006.cpp,64,10,6,30,6,3,0,6.4,0.6,3.0
test_589.cpp,49,8,8,8,3,3,0,6.125,1.0,1.0
test_222.cpp,33,5,5,19,8,9,0,6.6,1.0,3.8
test_388.cpp,38,5,4,12,10,3,0,7.6,0.8,2.4
test_913.cpp,112,4,10,135,42,12,9,28.0,2.5,33.75
test_451.cpp,68,5,11,28,16,10,8,13.6,2.2,5.6
test_628.cpp,47,8,8,26,11,4,0,5.875,1.0,3.25
test_1089.cpp,63,4,7,41,13,11,4,15.75,1.75,10.25
test_64.cpp,26,6,6,12,4,1,0,4.333333333333333,1.0,2.0
test_499.cpp,97,5,19,40,17,5,6,19.4,3.8,8.0
test_1041.cpp,55,5,14,36,9,3,0,11.0,2.8,7.2
test_853.cpp,33,6,6,18,9,8,0,5.5,1.0,3.0
test_692.cpp,65,8,20,62,12,2,0,8.125,2.5,7.75
test_138.cpp,78,10,12,72,17,2,6,7.8,1.2,7.2
test_918.cpp,55,0,5,20,8,2,0,0.0,0.0,0.0
test_674.cpp,27,2,2,5,3,1,0,13.5,1.0,2.5
test_933.cpp,64,6,23,74,14,2,11,10.666666666666666,3.8333333333333335,12.333333333333334
test_396.cpp,42,6,6,26,14,8,0,7.0,1.0,4.333333333333333
test_134.cpp,46,3,3,20,15,2,3,15.333333333333334,1.0,6.666666666666667
test_180.cpp,32,5,5,15,8,2,0,6.4,1.0,3.0
test_1061.cpp,55,6,15,35,13,3,0,9.166666666666666,2.5,5.833333333333333
test_133.cpp,43,5,5,24,9,3,0,8.6,1.0,4.8
test_748.cpp,43,4,4,20,8,7,0,10.75,1.0,5.0
test_470.cpp,78,11,11,39,15,13,0,7.090909090909091,1.0,3.5454545454545454
test_459.cpp,61,9,9,37,13,3,0,6.777777777777778,1.0,4.111111111111111
test_846.cpp,35,4,4,8,4,4,0,8.75,1.0,2.0
test_908.cpp,57,5,9,24,12,7,6,11.4,1.8,4.8
test_325.cpp,49,5,8,16,6,3,9,9.8,1.6,3.2
test_324.cpp,24,2,2,11,8,3,0,12.0,1.0,5.5
test_1106.cpp,36,5,0,8,5,1,0,7.2,0.0,1.6
test_160.cpp,58,7,9,40,18,2,6,8.285714285714286,1.2857142857142858,5.714285714285714
test_1074.cpp,59,5,8,38,20,5,5,11.8,1.6,7.6
test_812.cpp,32,6,6,12,10,8,0,5.333333333333333,1.0,2.0
test_360.cpp,49,6,12,36,17,9,7,8.166666666666666,2.0,6.0
test_201.cpp,43,8,14,35,11,7,0,5.375,1.75,4.375
test_295.cpp,66,13,13,39,23,10,0,5.076923076923077,1.0,3.0
test_7.cpp,104,12,15,65,22,19,0,8.666666666666666,1.25,5.416666666666667
test_1083.cpp,38,3,3,7,7,5,3,12.666666666666666,1.0,2.3333333333333335
test_655.cpp,53,6,6,17,13,6,0,8.833333333333334,1.0,2.8333333333333335
test_1021.cpp,69,11,17,56,21,4,22,6.2727272727272725,1.5454545454545454,5.090909090909091
test_1013.cpp,97,14,14,58,16,4,27,6.928571428571429,1.0,4.142857142857143
test_235.cpp,70,7,8,32,15,10,2,10.0,1.1428571428571428,4.571428571428571
test_659.cpp,14,2,2,4,4,3,0,7.0,1.0,2.0
test_218.cpp,28,4,4,16,6,14,0,7.0,1.0,4.0
test_169.cpp,50,4,12,36,9,10,8,12.5,3.0,9.0
test_168.cpp,49,6,12,37,15,8,6,8.166666666666666,2.0,6.166666666666667
test_439.cpp,43,6,10,27,14,18,0,7.166666666666667,1.6666666666666667,4.5
test_1004.cpp,35,4,4,20,8,8,0,8.75,1.0,5.0
test_1025.cpp,67,9,13,56,25,1,5,7.444444444444445,1.4444444444444444,6.222222222222222
