file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_10.cpp,139,23,39,90,19,34,0,6.043478260869565,1.6956521739130435,3.9130434782608696
test_817.cpp,56,10,10,17,7,2,0,5.6,1.0,1.7
test_279.cpp,60,10,10,22,7,1,0,6.0,1.0,2.2
test_486.cpp,19,4,4,9,4,2,0,4.75,1.0,2.25
test_353.cpp,62,5,8,22,13,2,0,12.4,1.6,4.4
test_77.cpp,31,3,7,9,4,2,0,10.333333333333334,2.3333333333333335,3.0
test_681.cpp,101,20,19,58,15,34,0,5.05,0.95,2.9
test_683.cpp,134,18,33,73,25,36,0,7.444444444444445,1.8333333333333333,4.055555555555555
test_530.cpp,42,5,5,30,11,11,0,8.4,1.0,6.0
test_450.cpp,35,6,9,19,13,3,0,5.833333333333333,1.5,3.1666666666666665
test_198.cpp,29,6,6,13,8,3,0,4.833333333333333,1.0,2.1666666666666665
test_193.cpp,34,5,5,15,5,2,0,6.8,1.0,3.0
test_819.cpp,34,5,5,5,3,3,0,6.8,1.0,1.0
test_22.cpp,81,10,15,38,12,1,0,8.1,1.5,3.8
test_612.cpp,70,9,9,43,10,10,0,7.777777777777778,1.0,4.777777777777778
test_223.cpp,39,7,7,23,7,10,0,5.571428571428571,1.0,3.2857142857142856
test_190.cpp,26,5,5,9,6,2,0,5.2,1.0,1.8
test_188.cpp,27,5,5,9,6,3,0,5.4,1.0,1.8
test_726.cpp,78,16,16,43,22,10,0,4.875,1.0,2.6875
test_314.cpp,41,7,6,21,9,2,0,5.857142857142857,0.8571428571428571,3.0
test_952.cpp,48,5,8,26,11,2,9,9.6,1.6,5.2
test_5.cpp,133,18,28,71,19,31,0,7.388888888888889,1.5555555555555556,3.9444444444444446
test_456.cpp,51,10,10,17,11,5,0,5.1,1.0,1.7
test_526.cpp,38,6,3,15,11,6,0,6.333333333333333,0.5,2.5
test_245.cpp,38,5,5,21,7,7,1,7.6,1.0,4.2
test_1077.cpp,37,6,4,16,7,8,0,6.166666666666667,0.6666666666666666,2.6666666666666665
test_328.cpp,49,7,11,29,12,7,0,7.0,1.5714285714285714,4.142857142857143
