index,Category,#Error
,Lexical,175
,Syntactic,705
,Linker,0
,Abstract-Type Instantiation,218
,Access Control,263
,Constexpr/Enum/Assert/Literal,62
,Construction/Initialization,823
,Deleted/Special Member,143
,Functions/Call Resolution,208
,Operator/Call,94
,Override/Inheritance,945
,Incomplete Type,314
,Symbol/Lookup,5270
,Templates/Generics,73
,Type Conversion/Reference Binding,671
,Type Redefinition/Redeclaration,147
,Qualifier/Specifier Misuse,195
,Pointer/Reference Misuse,8
,This/Non-Static Member/Using Misuse,89
