index,Category,%Error
,Lexical,1.68%
,Syntactic,6.78%
,Linker,0.00%
,Abstract-Type Instantiation,2.10%
,Access Control,2.53%
,Constexpr/Enum/Assert/Literal,0.60%
,Construction/Initialization,7.91%
,Deleted/Special Member,1.37%
,Functions/Call Resolution,2.00%
,Operator/Call,0.90%
,Override/Inheritance,9.08%
,Incomplete Type,3.02%
,Symbol/Lookup,50.66%
,Templates/Generics,0.70%
,Type Conversion/Reference Binding,6.45%
,Type Redefinition/Redeclaration,1.41%
,Qualifier/Specifier Misuse,1.87%
,Pointer/Reference Misuse,0.08%
,This/Non-Static Member/Using Misuse,0.86%
