Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
controllers/global_mapper.cc                    252               252     0.00%           1                 1     0.00%         247               247     0.00%          56                56     0.00%
controllers/global_mapper.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/option_manager.cc                    92                28    69.57%          20                 2    90.00%         287                51    82.23%          30                14    53.33%
controllers/option_manager.h                     26                15    42.31%           3                 0   100.00%          26                 4    84.62%           4                 0   100.00%
controllers/rotation_averager.cc                106               106     0.00%           1                 1     0.00%         145               145     0.00%          72                72     0.00%
controllers/rotation_averager.h                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_establishment.cc               90                90     0.00%           4                 4     0.00%         150               150     0.00%          68                68     0.00%
controllers/track_establishment.h                 4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
controllers/track_retriangulation.cc             18                18     0.00%           1                 1     0.00%          88                88     0.00%          18                18     0.00%
estimators/bundle_adjustment.cc                 177               177     0.00%           5                 5     0.00%         198               198     0.00%         100               100     0.00%
estimators/bundle_adjustment.h                    6                 4    33.33%           4                 3    25.00%           9                 5    44.44%           0                 0         -
estimators/cost_function.h                       25                13    48.00%          20                11    45.00%         190               105    44.74%           0                 0         -
estimators/global_positioning.cc                429               429     0.00%          12                12     0.00%         373               373     0.00%         192               192     0.00%
estimators/global_positioning.h                   4                 2    50.00%           3                 2    33.33%           7                 4    42.86%           0                 0         -
estimators/global_rotation_averaging.cc         534               534     0.00%          10                10     0.00%         587               587     0.00%         298               298     0.00%
estimators/global_rotation_averaging.h            1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
estimators/gravity_refinement.cc                101               101     0.00%           2                 2     0.00%         130               130     0.00%          54                54     0.00%
estimators/gravity_refinement.h                   4                 2    50.00%           3                 2    33.33%           6                 5    16.67%           0                 0         -
estimators/optimization_base.h                    1                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
estimators/relpose_estimation.cc                 61                61     0.00%           2                 2     0.00%         158               158     0.00%          20                20     0.00%
estimators/relpose_estimation.h                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
estimators/rotation_initializer.cc               53                53     0.00%           1                 1     0.00%          88                88     0.00%          46                46     0.00%
estimators/view_graph_calibration.cc            155               155     0.00%           7                 7     0.00%         117               117     0.00%          46                46     0.00%
estimators/view_graph_calibration.h               5                 2    60.00%           3                 1    66.67%           7                 1    85.71%           0                 0         -
io/colmap_converter.cc                          187               182     2.67%           7                 6    14.29%         325               308     5.23%         168               158     5.95%
io/colmap_io.cc                                  65                18    72.31%           2                 1    50.00%          55                15    72.73%          24                 7    70.83%
io/pose_io.cc                                   110                81    26.36%           5                 4    20.00%         162               101    37.65%          60                44    26.67%
math/gravity.cc                                  29                 3    89.66%           5                 1    80.00%          64                 9    85.94%          18                 2    88.89%
math/rigid3d.cc                                  18                 7    61.11%          10                 5    50.00%          48                14    70.83%           2                 0   100.00%
math/tree.cc                                     43                43     0.00%           2                 2     0.00%          91                91     0.00%          36                36     0.00%
math/two_view_geometry.cc                        13                 2    84.62%           7                 2    71.43%          52                10    80.77%          10                 3    70.00%
processors/image_pair_inliers.cc                 88                88     0.00%           5                 5     0.00%         154               154     0.00%          68                68     0.00%
processors/image_pair_inliers.h                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
processors/image_undistorter.cc                  35                35     0.00%           2                 2     0.00%          42                42     0.00%          14                14     0.00%
processors/reconstruction_normalizer.cc          27                27     0.00%           1                 1     0.00%          58                58     0.00%          26                26     0.00%
processors/reconstruction_pruning.cc             66                66     0.00%           1                 1     0.00%          94                94     0.00%          40                40     0.00%
processors/relpose_filter.cc                     80                80     0.00%           3                 3     0.00%          41                41     0.00%          22                22     0.00%
processors/track_filter.cc                       99                70    29.29%           3                 2    33.33%          92                69    25.00%          36                28    22.22%
processors/view_graph_manipulation.cc           196               196     0.00%           5                 5     0.00%         244               244     0.00%         136               136     0.00%
scene/camera.h                                    8                 5    37.50%           7                 5    28.57%          21                14    33.33%           0                 0         -
scene/frame.h                                     7                 2    71.43%           6                 2    66.67%          10                 2    80.00%           0                 0         -
scene/image.h                                    20                 6    70.00%          10                 6    40.00%          43                35    18.60%           6                 0   100.00%
scene/image_pair.h                                6                 1    83.33%           2                 1    50.00%           5                 1    80.00%           0                 0         -
scene/view_graph.cc                              50                14    72.00%           6                 1    83.33%         107                18    83.18%          50                16    68.00%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                          3296              2977     9.68%         198               127    35.86%        4533              3781    16.59%        1720              1584     7.91%
