file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_10.cpp,39,5,5,15,6,4,0,7.8,1.0,3.0
test_120.cpp,128,10,36,93,30,13,0,12.8,3.6,9.3
test_100.cpp,73,5,5,79,19,12,0,14.6,1.0,15.8
test_91.cpp,95,7,28,185,8,29,0,13.571428571428571,4.0,26.428571428571427
test_76.cpp,48,6,6,24,8,10,0,8.0,1.0,4.0
test_113.cpp,57,5,5,16,7,17,0,11.4,1.0,3.2
test_153.cpp,133,4,4,76,40,14,0,33.25,1.0,19.0
test_45.cpp,46,4,13,11,9,4,0,11.5,3.25,2.75
test_77.cpp,84,6,5,17,10,12,0,14.0,0.8333333333333334,2.8333333333333335
test_22.cpp,207,6,7,71,28,16,0,34.5,1.1666666666666667,11.833333333333334
test_160.cpp,77,5,6,18,14,12,0,15.4,1.2,3.6
test_7.cpp,39,5,6,24,12,3,0,7.8,1.2,4.8
test_5.cpp,92,7,12,7,3,5,0,13.142857142857142,1.7142857142857142,1.0
test_154.cpp,71,7,7,15,8,8,0,10.142857142857142,1.0,2.142857142857143
test_98.cpp,49,5,5,23,13,4,0,9.8,1.0,4.6
test_13.cpp,81,4,8,34,14,21,0,20.25,2.0,8.5
test_47.cpp,39,3,12,17,8,4,0,13.0,4.0,5.666666666666667
test_115.cpp,149,10,10,31,6,43,0,14.9,1.0,3.1
test_158.cpp,159,6,6,40,16,40,0,26.5,1.0,6.666666666666667
test_81.cpp,93,7,19,39,9,17,0,13.285714285714286,2.7142857142857144,5.571428571428571
test_20.cpp,53,4,4,15,8,4,1,13.25,1.0,3.75
test_123.cpp,55,5,14,18,8,7,0,11.0,2.8,3.6
test_101.cpp,108,6,8,51,17,21,0,18.0,1.3333333333333333,8.5
test_41.cpp,27,2,3,6,6,2,0,13.5,1.5,3.0
test_136.cpp,56,5,5,31,8,25,0,11.2,1.0,6.2
test_126.cpp,69,5,6,36,19,6,0,13.8,1.2,7.2
test_96.cpp,52,4,8,28,14,5,0,13.0,2.0,7.0
test_146.cpp,62,7,7,36,10,12,0,8.857142857142858,1.0,5.142857142857143
test_156.cpp,109,10,10,62,6,15,0,10.9,1.0,6.2
test_43.cpp,33,4,7,9,7,2,0,8.25,1.75,2.25
test_58.cpp,94,5,17,38,13,12,16,18.8,3.4,7.6
test_57.cpp,103,7,7,93,20,6,1,14.714285714285714,1.0,13.285714285714286
test_122.cpp,143,8,47,123,16,28,37,17.875,5.875,15.375
test_85.cpp,119,8,15,56,24,22,7,14.875,1.875,7.0
test_42.cpp,30,3,3,7,5,2,0,10.0,1.0,2.3333333333333335
test_135.cpp,46,5,5,40,10,18,0,9.2,1.0,8.0
test_48.cpp,45,4,10,15,7,3,0,11.25,2.5,3.75
test_16.cpp,52,2,9,26,10,4,0,26.0,4.5,13.0
test_86.cpp,121,8,8,40,5,12,0,15.125,1.0,5.0
test_116.cpp,53,5,5,13,7,7,0,10.6,1.0,2.6
test_104.cpp,74,4,8,37,15,8,0,18.5,2.0,9.25
test_149.cpp,119,9,13,43,11,18,0,13.222222222222221,1.4444444444444444,4.777777777777778
test_11.cpp,26,4,4,5,4,3,0,6.5,1.0,1.25
test_84.cpp,122,7,7,16,9,22,0,17.428571428571427,1.0,2.2857142857142856
