index,Category,#Error
,Lexical,11
,Syntactic,47
,Linker,0
,Abstract-Type Instantiation,2
,Access Control,143
,Constexpr/Enum/Assert/Literal,8
,Construction/Initialization,90
,Deleted/Special Member,124
,Functions/Call Resolution,40
,Operator/Call,52
,Override/Inheritance,49
,Incomplete Type,23
,Symbol/Lookup,766
,Templates/Generics,12
,Type Conversion/Reference Binding,53
,Type Redefinition/Redeclaration,17
,Qualifier/Specifier Misuse,0
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,11
