index,Category,%Error
,Lexical,0.76%
,Syntactic,3.25%
,Linker,0.00%
,Abstract-Type Instantiation,0.14%
,Access Control,9.88%
,Constexpr/Enum/Assert/Literal,0.55%
,Construction/Initialization,6.22%
,Deleted/Special Member,8.56%
,Functions/Call Resolution,2.76%
,Operator/Call,3.59%
,Override/Inheritance,3.38%
,Incomplete Type,1.59%
,Symbol/Lookup,52.90%
,Templates/Generics,0.83%
,Type Conversion/Reference Binding,3.66%
,Type Redefinition/Redeclaration,1.17%
,Qualifier/Specifier Misuse,0.00%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.76%
