Filename                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
browse.cc                          26                26     0.00%           1                 1     0.00%          47                47     0.00%          15                15     0.00%
build.cc                          636               636     0.00%          37                37     0.00%         715               715     0.00%         418               418     0.00%
build.h                            12                12     0.00%          10                10     0.00%          14                14     0.00%           4                 4     0.00%
build_log.cc                      203               195     3.94%          16                14    12.50%         276               273     1.09%         110               110     0.00%
build_log.h                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
clean.cc                          183               183     0.00%          21                21     0.00%         228               228     0.00%          94                94     0.00%
clean.h                             6                 6     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
clparser.cc                        63                63     0.00%           5                 5     0.00%          64                64     0.00%          52                52     0.00%
command_collector.h                21                21     0.00%           1                 1     0.00%          12                12     0.00%          14                14     0.00%
depfile_parser.cc                 221               221     0.00%           2                 2     0.00%         292               292     0.00%         142               142     0.00%
depfile_parser.h                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
deps_log.cc                       287               287     0.00%          13                13     0.00%         308               308     0.00%         187               187     0.00%
deps_log.h                         10                 5    50.00%           5                 3    40.00%           5                 3    40.00%           0                 0         -
disk_interface.cc                  87                86     1.15%          10                 9    10.00%         104               103     0.96%          46                46     0.00%
disk_interface.h                    2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
dyndep.cc                          29                29     0.00%           4                 4     0.00%          63                63     0.00%          22                22     0.00%
dyndep.h                            7                 7     0.00%           2                 2     0.00%           3                 3     0.00%           0                 0         -
dyndep_parser.cc                  129               129     0.00%           5                 5     0.00%         163               163     0.00%          92                92     0.00%
dyndep_parser.h                     1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
edit_distance.cc                   24                 4    83.33%           1                 0   100.00%          30                 6    80.00%          16                 4    75.00%
elide_middle.cc                    91                91     0.00%          17                17     0.00%         109               109     0.00%          54                54     0.00%
eval_env.cc                       117                48    58.97%          17                 3    82.35%         134                45    66.42%          76                50    34.21%
eval_env.h                         13                 2    84.62%           8                 1    87.50%           8                 1    87.50%           4                 0   100.00%
explanations.h                     17                17     0.00%           8                 8     0.00%          35                35     0.00%           6                 6     0.00%
graph.cc                          411               385     6.33%          34                26    23.53%         516               479     7.17%         299               290     3.01%
graph.h                            65                29    55.38%          45                16    64.44%          99                46    53.54%           8                 2    75.00%
graphviz.cc                        34                34     0.00%           3                 3     0.00%          52                52     0.00%          24                24     0.00%
graphviz.h                          2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
hash_map.h                          1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
