index,Category,#Error
,Lexical,7
,Syntactic,33
,Linker,185
,Abstract-Type Instantiation,14
,Access Control,20
,Constexpr/Enum/Assert/Literal,1
,Construction/Initialization,41
,Deleted/Special Member,6
,Functions/Call Resolution,14
,Operator/Call,7
,Override/Inheritance,43
,Incomplete Type,66
,Symbol/Lookup,769
,Templates/Generics,25
,Type Conversion/Reference Binding,69
,Type Redefinition/Redeclaration,2
,Qualifier/Specifier Misuse,7
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,1
