index,Category,%Error
,Lexical,0.53%
,Syntactic,2.52%
,Linker,14.12%
,Abstract-Type Instantiation,1.07%
,Access Control,1.53%
,Constexpr/Enum/Assert/Literal,0.08%
,Construction/Initialization,3.13%
,Deleted/Special Member,0.46%
,Functions/Call Resolution,1.07%
,Operator/Call,0.53%
,Override/Inheritance,3.28%
,Incomplete Type,5.04%
,Symbol/Lookup,58.70%
,Templates/Generics,1.91%
,Type Conversion/Reference Binding,5.27%
,Type Redefinition/Redeclaration,0.15%
,Qualifier/Specifier Misuse,0.53%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.08%
