file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,28,4,4,10,8,2,0,7.0,1.0,2.5
test_120.cpp,68,10,10,40,15,2,0,6.8,1.0,4.0
test_100.cpp,39,5,7,21,9,2,0,7.8,1.4,4.2
test_91.cpp,40,4,5,10,9,2,0,10.0,1.25,2.5
test_270.cpp,36,4,4,10,9,5,0,9.0,1.0,2.5
test_279.cpp,31,4,4,7,6,1,0,7.75,1.0,1.75
test_76.cpp,36,5,6,15,10,1,0,7.2,1.2,3.0
test_231.cpp,40,5,5,14,9,2,0,8.0,1.0,2.8
test_113.cpp,49,8,12,27,15,1,0,6.125,1.5,3.375
test_153.cpp,71,5,5,25,12,3,0,14.2,1.0,5.0
test_45.cpp,130,33,32,54,42,2,0,3.9393939393939394,0.9696969696969697,1.6363636363636365
test_77.cpp,22,3,4,3,4,2,0,7.333333333333333,1.3333333333333333,1.0
test_222.cpp,31,4,4,12,4,2,0,7.75,1.0,3.0
test_198.cpp,44,4,11,25,12,4,0,11.0,2.75,6.25
test_64.cpp,33,4,6,20,8,2,0,8.25,1.5,5.0
test_193.cpp,72,5,21,51,13,9,20,14.4,4.2,10.2
test_138.cpp,62,5,5,37,10,11,0,12.4,1.0,7.4
test_223.cpp,38,6,6,25,9,2,0,6.333333333333333,1.0,4.166666666666667
test_190.cpp,64,7,10,23,8,1,0,9.142857142857142,1.4285714285714286,3.2857142857142856
test_188.cpp,44,5,8,18,10,4,0,8.8,1.6,3.6
test_134.cpp,40,5,5,20,9,3,0,8.0,1.0,4.0
test_133.cpp,68,15,7,18,18,4,0,4.533333333333333,0.4666666666666667,1.2
test_324.cpp,45,5,27,54,4,3,0,9.0,5.4,10.8
test_160.cpp,94,17,17,49,5,3,0,5.529411764705882,1.0,2.8823529411764706
test_201.cpp,47,5,7,10,8,5,1,9.4,1.4,2.0
test_295.cpp,48,6,6,14,10,3,0,8.0,1.0,2.3333333333333335
test_235.cpp,32,4,4,19,12,2,0,8.0,1.0,4.75
test_218.cpp,60,10,11,27,14,2,0,6.0,1.1,2.7
test_314.cpp,32,4,5,18,10,6,6,8.0,1.25,4.5
test_245.cpp,58,5,8,20,9,2,0,11.6,1.6,4.0
test_154.cpp,67,10,13,31,15,4,0,6.7,1.3,3.1
test_67.cpp,47,5,5,18,17,3,3,9.4,1.0,3.6
test_98.cpp,39,7,8,12,5,2,0,5.571428571428571,1.1428571428571428,1.7142857142857142
test_200.cpp,45,4,10,31,12,4,14,11.25,2.5,7.75
test_328.cpp,89,16,7,37,19,11,0,5.5625,0.4375,2.3125
test_47.cpp,93,22,22,42,29,2,0,4.2272727272727275,1.0,1.9090909090909092
