index,Category,#Error
,Lexical,1
,Syntactic,37
,Linker,0
,Abstract-Type Instantiation,124
,Access Control,406
,Constexpr/Enum/Assert/Literal,3
,Construction/Initialization,385
,Deleted/Special Member,40
,Functions/Call Resolution,43
,Operator/Call,3
,Override/Inheritance,71
,Incomplete Type,5
,Symbol/Lookup,1649
,Templates/Generics,7
,Type Conversion/Reference Binding,35
,Type Redefinition/Redeclaration,0
,Qualifier/Specifier Misuse,31
,Pointer/Reference Misuse,0
,This/Non-Static Member/Using Misuse,0
