index,Category,%Error
,Lexical,0.04%
,Syntactic,1.30%
,Linker,0.00%
,Abstract-Type Instantiation,4.37%
,Access Control,14.30%
,Constexpr/Enum/Assert/Literal,0.11%
,Construction/Initialization,13.56%
,Deleted/Special Member,1.41%
,Functions/Call Resolution,1.51%
,Operator/Call,0.11%
,Override/Inheritance,2.50%
,Incomplete Type,0.18%
,Symbol/Lookup,58.06%
,Templates/Generics,0.25%
,Type Conversion/Reference Binding,1.23%
,Type Redefinition/Redeclaration,0.00%
,Qualifier/Specifier Misuse,1.09%
,Pointer/Reference Misuse,0.00%
,This/Non-Static Member/Using Misuse,0.00%
