Filename                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
include/yaml-cpp/binary.h                              9                 0   100.00%           3                 0   100.00%           5                 0   100.00%           4                 0   100.00%
include/yaml-cpp/contrib/anchordict.h                  6                 6     0.00%           3                 3     0.00%           8                 8     0.00%           2                 2     0.00%
include/yaml-cpp/contrib/graphbuilder.h                3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
include/yaml-cpp/depthguard.h                          6                 1    83.33%           3                 0   100.00%          10                 2    80.00%           2                 1    50.00%
include/yaml-cpp/emitfromevents.h                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/emitter.h                            17                12    29.41%          17                12    29.41%         106                91    14.15%           0                 0         -
include/yaml-cpp/emittermanip.h                       18                 9    50.00%          13                 9    30.77%          21                15    28.57%           0                 0         -
include/yaml-cpp/eventhandler.h                        2                 1    50.00%           2                 1    50.00%           3                 2    33.33%           0                 0         -
include/yaml-cpp/exceptions.h                         31                11    64.52%          16                 9    43.75%          35                11    68.57%           4                 0   100.00%
include/yaml-cpp/mark.h                               14                 0   100.00%           4                 0   100.00%           4                 0   100.00%           6                 2    66.67%
include/yaml-cpp/node/convert.h                       16                16     0.00%          16                16     0.00%          92                92     0.00%           0                 0         -
include/yaml-cpp/node/detail/memory.h                  5                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/yaml-cpp/node/detail/node.h                   39                 6    84.62%          27                 6    77.78%          77                16    79.22%           8                 1    87.50%
include/yaml-cpp/node/detail/node_data.h               9                 0   100.00%           6                 0   100.00%           8                 0   100.00%           2                 0   100.00%
include/yaml-cpp/node/detail/node_iterator.h          52                10    80.77%          13                 1    92.31%          64                11    82.81%          34                10    70.59%
include/yaml-cpp/node/detail/node_ref.h               21                 2    90.48%          20                 2    90.00%          32                 6    81.25%           0                 0         -
include/yaml-cpp/node/impl.h                          45                23    48.89%          25                19    24.00%         119               107    10.08%           8                 4    50.00%
include/yaml-cpp/node/iterator.h                       3                 3     0.00%           3                 3     0.00%           7                 7     0.00%           0                 0         -
include/yaml-cpp/node/node.h                           4                 3    25.00%           4                 3    25.00%           4                 3    25.00%           0                 0         -
include/yaml-cpp/noexcept.h                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/yaml-cpp/ostream_wrapper.h                    11                 0   100.00%           8                 0   100.00%          24                 0   100.00%           2                 0   100.00%
include/yaml-cpp/traits.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
src/binary.cpp                                        34                 1    97.06%           2                 0   100.00%          65                 2    96.92%          28                 3    89.29%
src/collectionstack.h                                 17                 6    64.71%           4                 0   100.00%          14                 1    92.86%           4                 2    50.00%
src/contrib/dragonbox.h                              355               160    54.93%          94                35    62.77%         892               511    42.71%          97                59    39.18%
src/contrib/graphbuilder.cpp                           4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
src/contrib/graphbuilderadapter.cpp                   24                24     0.00%          10                10     0.00%          66                66     0.00%          10                10     0.00%
src/contrib/graphbuilderadapter.h                     12                12     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
src/convert.cpp                                       38                 0   100.00%           8                 0   100.00%          46                 0   100.00%          30                 2    93.33%
src/depthguard.cpp                                     3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
src/directives.cpp                                    10                 0   100.00%           2                 0   100.00%          10                 0   100.00%           4                 0   100.00%
src/emit.cpp                                           3                 1    66.67%           3                 1    66.67%          16                 5    68.75%           0                 0         -
src/emitfromevents.cpp                                58                23    60.34%          13                 2    84.62%          93                28    69.89%          34                16    52.94%
src/emitter.cpp                                      575               353    38.61%          66                15    77.27%         790               420    46.84%         549               372    32.24%
src/emitterstate.cpp                                 236                63    73.31%          41                 2    95.12%         311                53    82.96%         139                39    71.94%
src/emitterstate.h                                    68                21    69.12%          26                 0   100.00%          62                 5    91.94%          24                 5    79.17%
src/emitterutils.cpp                                 304               143    52.96%          24                 3    87.50%         414               173    58.21%         258               130    49.61%
