file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_274.cpp,50,0,4,14,6,1,0,0.0,0.0,0.0
test_120.cpp,36,7,7,15,5,1,0,5.142857142857143,1.0,2.142857142857143
test_100.cpp,37,6,7,12,10,8,0,6.166666666666667,1.1666666666666667,2.0
test_270.cpp,34,4,4,4,3,2,0,8.5,1.0,1.0
test_272.cpp,59,5,5,26,16,1,0,11.8,1.0,5.2
test_660.cpp,51,5,5,16,10,3,0,10.2,1.0,3.2
test_577.cpp,105,26,29,57,21,7,0,4.038461538461538,1.1153846153846154,2.1923076923076925
test_279.cpp,34,6,6,17,5,0,0,5.666666666666667,1.0,2.8333333333333335
test_486.cpp,31,4,4,12,6,3,0,7.75,1.0,3.0
test_231.cpp,35,5,6,24,6,2,0,7.0,1.2,4.8
test_571.cpp,37,6,6,7,4,3,0,6.166666666666667,1.0,1.1666666666666667
test_113.cpp,64,7,14,62,22,8,7,9.142857142857142,2.0,8.857142857142858
test_153.cpp,36,5,5,14,13,4,0,7.2,1.0,2.8
test_663.cpp,31,4,4,6,5,3,0,7.75,1.0,1.5
test_353.cpp,16,2,2,4,5,2,0,8.0,1.0,2.0
test_45.cpp,74,18,20,33,16,3,0,4.111111111111111,1.1111111111111112,1.8333333333333333
test_675.cpp,86,11,18,15,7,3,0,7.818181818181818,1.6363636363636365,1.3636363636363635
test_363.cpp,36,5,4,10,5,6,0,7.2,0.8,2.0
test_222.cpp,38,6,6,16,16,1,0,6.333333333333333,1.0,2.6666666666666665
test_388.cpp,24,4,4,10,5,1,0,6.0,1.0,2.5
test_681.cpp,54,4,7,34,15,12,13,13.5,1.75,8.5
test_683.cpp,74,7,15,50,18,5,15,10.571428571428571,2.142857142857143,7.142857142857143
test_530.cpp,82,13,27,68,9,2,0,6.3076923076923075,2.076923076923077,5.230769230769231
test_628.cpp,43,8,8,8,3,2,0,5.375,1.0,1.0
test_198.cpp,18,3,3,4,5,1,0,6.0,1.0,1.3333333333333333
test_64.cpp,27,4,4,9,7,3,0,6.75,1.0,2.25
test_193.cpp,44,10,11,24,14,4,0,4.4,1.1,2.4
test_138.cpp,31,6,8,16,8,3,0,5.166666666666667,1.3333333333333333,2.6666666666666665
test_22.cpp,24,3,6,9,5,1,0,8.0,2.0,3.0
test_612.cpp,46,4,11,20,10,5,0,11.5,2.75,5.0
test_674.cpp,25,5,5,11,5,2,0,5.0,1.0,2.2
test_190.cpp,42,5,6,26,9,4,0,8.4,1.2,5.2
test_396.cpp,43,5,5,6,4,1,0,8.6,1.0,1.2
test_188.cpp,72,6,7,29,17,3,2,12.0,1.1666666666666667,4.833333333333333
test_134.cpp,40,9,9,23,7,2,0,4.444444444444445,1.0,2.5555555555555554
test_180.cpp,38,5,11,6,5,4,0,7.6,2.2,1.2
test_133.cpp,31,8,8,17,5,1,0,3.875,1.0,2.125
test_470.cpp,64,14,15,45,17,2,0,4.571428571428571,1.0714285714285714,3.2142857142857144
test_459.cpp,23,4,6,9,6,3,0,5.75,1.5,2.25
test_325.cpp,36,3,2,3,5,2,0,12.0,0.6666666666666666,1.0
test_324.cpp,27,5,5,0,2,2,0,5.4,1.0,0.0
test_360.cpp,34,3,3,3,3,5,0,11.333333333333334,1.0,1.0
test_201.cpp,50,7,8,8,8,1,0,7.142857142857143,1.1428571428571428,1.1428571428571428
test_295.cpp,77,11,11,34,13,12,0,7.0,1.0,3.090909090909091
test_655.cpp,78,15,21,62,19,3,0,5.2,1.4,4.133333333333334
test_235.cpp,74,14,15,29,22,8,0,5.285714285714286,1.0714285714285714,2.0714285714285716
test_659.cpp,26,3,3,5,5,3,0,8.666666666666666,1.0,1.6666666666666667
test_218.cpp,52,10,10,22,19,2,0,5.2,1.0,2.2
test_314.cpp,26,6,6,0,2,1,0,4.333333333333333,1.0,0.0
test_169.cpp,36,9,10,11,5,2,0,4.0,1.1111111111111112,1.2222222222222223
test_168.cpp,118,18,36,112,11,21,19,6.555555555555555,2.0,6.222222222222222
test_439.cpp,38,6,0,9,5,6,0,6.333333333333333,0.0,1.5
test_448.cpp,64,16,16,38,20,2,0,4.0,1.0,2.375
test_5.cpp,37,6,9,16,8,4,3,6.166666666666667,1.5,2.6666666666666665
test_565.cpp,43,5,5,21,12,5,0,8.6,1.0,4.2
test_444.cpp,64,18,18,38,22,2,0,3.5555555555555554,1.0,2.111111111111111
test_399.cpp,29,5,5,10,4,2,0,5.8,1.0,2.0
test_423.cpp,23,3,3,6,4,1,0,7.666666666666667,1.0,2.0
test_354.cpp,10,2,2,4,5,1,0,5.0,1.0,2.0
test_456.cpp,41,6,8,16,8,3,0,6.833333333333333,1.3333333333333333,2.6666666666666665
test_468.cpp,68,16,16,38,18,2,0,4.25,1.0,2.375
test_437.cpp,28,2,3,10,9,3,3,14.0,1.5,5.0
test_245.cpp,41,5,12,28,9,1,0,8.2,2.4,5.6
test_355.cpp,38,5,9,22,10,1,5,7.6,1.8,4.4
test_542.cpp,35,4,5,14,9,3,0,8.75,1.25,3.5
test_154.cpp,44,4,4,32,15,4,3,11.0,1.0,8.0
test_67.cpp,46,9,10,20,10,3,0,5.111111111111111,1.1111111111111112,2.2222222222222223
test_98.cpp,47,5,9,41,22,4,4,9.4,1.8,8.2
test_445.cpp,101,30,30,59,34,3,0,3.3666666666666667,1.0,1.9666666666666666
test_538.cpp,85,6,21,93,23,4,19,14.166666666666666,3.5,15.5
test_200.cpp,37,3,3,2,3,4,0,12.333333333333334,1.0,0.6666666666666666
test_328.cpp,57,7,21,22,7,1,0,8.142857142857142,3.0,3.142857142857143
test_13.cpp,30,3,3,5,5,2,0,10.0,1.0,1.6666666666666667
test_682.cpp,40,0,4,18,10,2,1,0.0,0.0,0.0
test_47.cpp,63,14,14,22,11,3,0,4.5,1.0,1.5714285714285714
test_553.cpp,53,11,12,18,13,5,0,4.818181818181818,1.0909090909090908,1.6363636363636365
test_594.cpp,28,4,7,18,9,6,0,7.0,1.75,4.5
test_219.cpp,41,8,8,19,17,3,0,5.125,1.0,2.375
test_536.cpp,71,12,12,40,11,4,0,5.916666666666667,1.0,3.3333333333333335
test_332.cpp,41,5,0,2,3,1,0,8.2,0.0,0.4
test_376.cpp,33,4,4,12,4,1,0,8.25,1.0,3.0
test_155.cpp,40,5,5,20,12,3,0,8.0,1.0,4.0
test_14.cpp,14,2,2,2,3,1,0,7.0,1.0,1.0
test_520.cpp,27,5,7,15,8,3,0,5.4,1.4,3.0
test_508.cpp,45,5,10,23,14,9,0,9.0,2.0,4.6
test_645.cpp,46,10,10,25,13,1,0,4.6,1.0,2.5
test_81.cpp,27,3,3,5,4,2,0,9.0,1.0,1.6666666666666667
test_466.cpp,34,4,4,12,8,7,0,8.5,1.0,3.0
test_20.cpp,28,4,4,4,3,2,0,7.0,1.0,1.0
test_351.cpp,9,2,2,4,5,1,0,4.5,1.0,2.0
test_254.cpp,56,13,13,25,18,2,0,4.3076923076923075,1.0,1.9230769230769231
test_212.cpp,32,5,5,15,11,7,0,6.4,1.0,3.0
test_123.cpp,55,6,19,39,9,1,0,9.166666666666666,3.1666666666666665,6.5
test_101.cpp,42,7,11,19,11,4,5,6.0,1.5714285714285714,2.7142857142857144
test_401.cpp,40,5,2,8,4,1,0,8.0,0.4,1.6
test_259.cpp,39,5,5,7,5,2,0,7.8,1.0,1.4
