index,Category,#Error
,Lexical,69
,Syntactic,418
,Linker,27
,Abstract-Type Instantiation,14
,Access Control,162
,Constexpr/Enum/Assert/Literal,9
,Construction/Initialization,117
,Deleted/Special Member,12
,Functions/Call Resolution,114
,Operator/Call,76
,Override/Inheritance,472
,Incomplete Type,89
,Symbol/Lookup,3084
,Templates/Generics,141
,Type Conversion/Reference Binding,188
,Type Redefinition/Redeclaration,15
,Qualifier/Specifier Misuse,50
,Pointer/Reference Misuse,10
,This/Non-Static Member/Using Misuse,47
