index,Category,%Error
,Lexical,1.35%
,Syntactic,8.17%
,Linker,0.53%
,Abstract-Type Instantiation,0.27%
,Access Control,3.17%
,Constexpr/Enum/Assert/Literal,0.18%
,Construction/Initialization,2.29%
,Deleted/Special Member,0.23%
,Functions/Call Resolution,2.23%
,Operator/Call,1.49%
,Override/Inheritance,9.23%
,Incomplete Type,1.74%
,Symbol/Lookup,60.31%
,Templates/Generics,2.76%
,Type Conversion/Reference Binding,3.68%
,Type Redefinition/Redeclaration,0.29%
,Qualifier/Specifier Misuse,0.98%
,Pointer/Reference Misuse,0.20%
,This/Non-Static Member/Using Misuse,0.92%
