file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_1952.cpp,68,7,9,17,7,5,1,9.714285714285714,1.2857142857142858,2.4285714285714284
test_274.cpp,153,35,35,140,39,5,0,4.371428571428571,1.0,4.0
test_1663.cpp,85,5,20,90,28,12,15,17.0,4.0,18.0
test_738.cpp,48,9,0,9,8,8,0,5.333333333333333,0.0,1.0
test_1494.cpp,37,6,6,12,11,2,0,6.166666666666667,1.0,2.0
test_1304.cpp,48,8,8,26,14,6,0,6.0,1.0,3.25
test_10.cpp,70,8,18,35,10,11,0,8.75,2.25,4.375
test_1184.cpp,88,8,14,74,13,6,33,11.0,1.75,9.25
test_120.cpp,63,4,15,48,18,11,14,15.75,3.75,12.0
test_1389.cpp,57,5,10,26,9,5,6,11.4,2.0,5.2
test_1937.cpp,100,10,10,32,12,2,0,10.0,1.0,3.2
test_1922.cpp,116,10,10,74,9,2,0,11.6,1.0,7.4
test_1174.cpp,55,8,7,17,17,2,0,6.875,0.875,2.125
test_1300.cpp,61,6,6,44,14,11,15,10.166666666666666,1.0,7.333333333333333
test_995.cpp,80,17,17,58,22,5,0,4.705882352941177,1.0,3.411764705882353
test_100.cpp,61,7,8,21,10,10,0,8.714285714285714,1.1428571428571428,3.0
test_1654.cpp,16,1,1,7,9,3,2,16.0,1.0,7.0
test_1917.cpp,78,7,7,23,11,0,0,11.142857142857142,1.0,3.2857142857142856
test_1690.cpp,187,7,5,62,25,39,0,26.714285714285715,0.7142857142857143,8.857142857142858
test_793.cpp,24,4,4,7,7,2,0,6.0,1.0,1.75
test_723.cpp,51,7,9,29,17,9,3,7.285714285714286,1.2857142857142858,4.142857142857143
test_1883.cpp,33,4,6,22,10,7,5,8.25,1.5,5.5
test_270.cpp,236,34,68,191,51,5,34,6.9411764705882355,2.0,5.617647058823529
test_272.cpp,190,36,36,142,41,4,0,5.277777777777778,1.0,3.9444444444444446
test_660.cpp,135,17,17,101,13,21,30,7.9411764705882355,1.0,5.9411764705882355
test_1662.cpp,44,3,5,29,18,9,4,14.666666666666666,1.6666666666666667,9.666666666666666
test_676.cpp,43,3,6,20,11,9,3,14.333333333333334,2.0,6.666666666666667
test_817.cpp,22,4,6,6,3,2,0,5.5,1.5,1.5
test_1821.cpp,59,7,9,30,11,5,2,8.428571428571429,1.2857142857142858,4.285714285714286
test_1653.cpp,21,2,2,8,8,4,2,10.5,1.0,4.0
test_1691.cpp,40,4,5,12,13,3,0,10.0,1.25,3.0
test_279.cpp,25,4,4,8,7,4,0,6.25,1.0,2.0
test_2182.cpp,62,7,5,21,11,17,0,8.857142857142858,0.7142857142857143,3.0
test_1287.cpp,87,18,19,42,29,4,0,4.833333333333333,1.0555555555555556,2.3333333333333335
test_2015.cpp,65,6,8,19,11,12,0,10.833333333333334,1.3333333333333333,3.1666666666666665
test_1530.cpp,44,5,5,9,5,2,0,8.8,1.0,1.8
test_1506.cpp,46,7,8,13,15,4,2,6.571428571428571,1.1428571428571428,1.8571428571428572
test_2196.cpp,49,8,7,17,16,7,1,6.125,0.875,2.125
test_1049.cpp,43,5,7,24,9,2,6,8.6,1.4,4.8
test_76.cpp,18,3,5,10,4,2,0,6.0,1.6666666666666667,3.3333333333333335
test_1782.cpp,49,5,5,30,10,5,0,9.8,1.0,6.0
test_875.cpp,53,11,11,11,3,4,0,4.818181818181818,1.0,1.0
test_486.cpp,88,11,11,46,19,11,0,8.0,1.0,4.181818181818182
test_702.cpp,65,7,7,39,11,9,0,9.285714285714286,1.0,5.571428571428571
test_936.cpp,150,23,45,90,29,4,0,6.521739130434782,1.9565217391304348,3.9130434782608696
test_1429.cpp,33,5,5,11,5,3,0,6.6,1.0,2.2
test_1721.cpp,56,5,15,46,14,8,10,11.2,3.0,9.2
test_231.cpp,70,10,16,31,28,4,3,7.0,1.6,3.1
test_2032.cpp,39,5,5,13,7,4,0,7.8,1.0,2.6
test_981.cpp,94,5,26,82,16,4,28,18.8,5.2,16.4
test_997.cpp,116,13,25,75,22,16,13,8.923076923076923,1.9230769230769231,5.769230769230769
test_571.cpp,49,9,10,26,15,3,0,5.444444444444445,1.1111111111111112,2.888888888888889
test_2007.cpp,76,9,9,20,8,8,0,8.444444444444445,1.0,2.2222222222222223
test_713.cpp,58,5,5,27,8,9,0,11.6,1.0,5.4
test_525.cpp,28,4,4,19,8,5,0,7.0,1.0,4.75
test_804.cpp,39,4,8,5,5,3,0,9.75,2.0,1.25
test_113.cpp,171,29,56,151,38,9,54,5.896551724137931,1.9310344827586208,5.206896551724138
test_153.cpp,71,14,14,35,16,2,0,5.071428571428571,1.0,2.5
test_2065.cpp,47,5,10,8,6,2,0,9.4,2.0,1.6
