index,Category,#Error
,Lexical,398
,Syntactic,1076
,Linker,155
,Abstract-Type Instantiation,897
,Access Control,573
,Constexpr/Enum/Assert/Literal,57
,Construction/Initialization,556
,Deleted/Special Member,37
,Functions/Call Resolution,271
,Operator/Call,124
,Override/Inheritance,1468
,Incomplete Type,1276
,Symbol/Lookup,12158
,Templates/Generics,148
,Type Conversion/Reference Binding,2514
,Type Redefinition/Redeclaration,28
,Qualifier/Specifier Misuse,596
,Pointer/Reference Misuse,70
,This/Non-Static Member/Using Misuse,82
