index,Category,%Error
,Lexical,1.77%
,Syntactic,4.79%
,Linker,0.69%
,Abstract-Type Instantiation,3.99%
,Access Control,2.55%
,Constexpr/Enum/Assert/Literal,0.25%
,Construction/Initialization,2.47%
,Deleted/Special Member,0.16%
,Functions/Call Resolution,1.21%
,Operator/Call,0.55%
,Override/Inheritance,6.53%
,Incomplete Type,5.68%
,Symbol/Lookup,54.07%
,Templates/Generics,0.66%
,Type Conversion/Reference Binding,11.18%
,Type Redefinition/Redeclaration,0.12%
,Qualifier/Specifier Misuse,2.65%
,Pointer/Reference Misuse,0.31%
,This/Non-Static Member/Using Misuse,0.36%
