file,LOC,num_test_cases,assertion_count,function_call_count,unique_function_count,external_dependency,mock_usage,LOC_per_test,assertions_per_test,calls_per_test
test_2492.cpp,20,1,1,5,6,1,0,20.0,1.0,5.0
test_1952.cpp,41,4,10,29,13,4,6,10.25,2.5,7.25
test_274.cpp,59,12,12,24,18,2,0,4.916666666666667,1.0,2.0
test_1663.cpp,58,11,11,27,17,2,0,5.2727272727272725,1.0,2.4545454545454546
test_738.cpp,29,5,5,20,11,6,0,5.8,1.0,4.0
test_1494.cpp,120,12,24,72,24,2,26,10.0,2.0,6.0
test_2703.cpp,69,4,25,70,16,8,0,17.25,6.25,17.5
test_2211.cpp,156,23,26,71,16,11,0,6.782608695652174,1.1304347826086956,3.0869565217391304
test_1304.cpp,52,6,6,29,10,15,6,8.666666666666666,1.0,4.833333333333333
test_10.cpp,50,4,8,22,11,2,4,12.5,2.0,5.5
test_120.cpp,69,6,17,55,14,8,13,11.5,2.8333333333333335,9.166666666666666
test_1389.cpp,41,3,9,21,13,7,0,13.666666666666666,3.0,7.0
test_1749.cpp,53,8,6,16,10,1,0,6.625,0.75,2.0
test_2317.cpp,43,3,5,22,20,6,2,14.333333333333334,1.6666666666666667,7.333333333333333
test_2418.cpp,45,8,8,12,8,2,0,5.625,1.0,1.5
test_1922.cpp,93,7,18,80,17,21,11,13.285714285714286,2.5714285714285716,11.428571428571429
test_1174.cpp,48,10,10,24,19,2,0,4.8,1.0,2.4
test_1300.cpp,50,5,10,8,6,1,0,10.0,2.0,1.6
test_995.cpp,62,5,15,46,14,4,10,12.4,3.0,9.2
test_100.cpp,42,7,7,36,14,9,0,6.0,1.0,5.142857142857143
test_2284.cpp,42,5,0,12,7,2,0,8.4,0.0,2.4
test_1654.cpp,58,7,13,37,17,4,12,8.285714285714286,1.8571428571428572,5.285714285714286
test_2779.cpp,26,4,9,10,5,3,0,6.5,2.25,2.5
test_1917.cpp,41,7,7,27,10,2,0,5.857142857142857,1.0,3.857142857142857
test_2410.cpp,31,2,2,10,8,1,0,15.5,1.0,5.0
test_1690.cpp,143,31,31,67,42,2,0,4.612903225806452,1.0,2.161290322580645
test_793.cpp,47,3,3,16,12,1,0,15.666666666666666,1.0,5.333333333333333
test_723.cpp,61,4,7,33,20,11,5,15.25,1.75,8.25
test_1883.cpp,58,3,3,28,18,1,2,19.333333333333332,1.0,9.333333333333334
test_2443.cpp,63,6,12,51,15,10,7,10.5,2.0,8.5
test_270.cpp,50,13,13,21,19,4,0,3.8461538461538463,1.0,1.6153846153846154
test_2720.cpp,43,7,7,11,7,1,0,6.142857142857143,1.0,1.5714285714285714
test_272.cpp,69,8,13,25,20,17,0,8.625,1.625,3.125
test_660.cpp,28,3,3,18,12,5,2,9.333333333333334,1.0,6.0
test_1662.cpp,96,15,15,44,17,1,0,6.4,1.0,2.933333333333333
test_676.cpp,53,5,5,17,10,2,2,10.6,1.0,3.4
test_2225.cpp,41,3,5,14,12,3,2,13.666666666666666,1.6666666666666667,4.666666666666667
test_817.cpp,51,5,13,36,20,1,0,10.2,2.6,7.2
test_2337.cpp,36,3,5,18,14,5,2,12.0,1.6666666666666667,6.0
test_1821.cpp,67,13,17,30,20,2,0,5.153846153846154,1.3076923076923077,2.3076923076923075
test_577.cpp,39,4,4,17,10,4,4,9.75,1.0,4.25
test_2699.cpp,79,4,22,85,22,25,23,19.75,5.5,21.25
test_1653.cpp,12,2,2,4,3,2,0,6.0,1.0,2.0
test_1691.cpp,46,5,9,33,12,13,4,9.2,1.8,6.6
test_279.cpp,55,11,11,25,18,2,0,5.0,1.0,2.272727272727273
test_2182.cpp,43,3,5,14,11,9,3,14.333333333333334,1.6666666666666667,4.666666666666667
test_1287.cpp,120,8,10,158,38,19,2,15.0,1.25,19.75
test_2015.cpp,52,12,12,24,4,14,0,4.333333333333333,1.0,2.0
test_2722.cpp,17,2,2,2,3,2,0,8.5,1.0,1.0
test_1530.cpp,84,11,11,14,5,2,0,7.636363636363637,1.0,1.2727272727272727
test_1506.cpp,31,3,8,24,9,2,4,10.333333333333334,2.6666666666666665,8.0
test_2196.cpp,64,5,12,32,12,3,9,12.8,2.4,6.4
test_76.cpp,43,6,11,36,17,12,0,7.166666666666667,1.8333333333333333,6.0
test_1782.cpp,60,7,13,14,4,3,0,8.571428571428571,1.8571428571428572,2.0
test_875.cpp,52,8,9,13,13,4,0,6.5,1.125,1.625
test_486.cpp,49,7,9,27,11,3,0,7.0,1.2857142857142858,3.857142857142857
test_702.cpp,169,46,46,96,57,6,0,3.6739130434782608,1.0,2.0869565217391304
test_936.cpp,56,7,7,22,10,4,0,8.0,1.0,3.142857142857143
test_1429.cpp,53,7,10,27,16,2,0,7.571428571428571,1.4285714285714286,3.857142857142857
test_1327.cpp,46,3,3,10,9,1,0,15.333333333333334,1.0,3.3333333333333335
test_1721.cpp,54,5,20,11,9,5,0,10.8,4.0,2.2
test_231.cpp,67,8,16,44,19,2,13,8.375,2.0,5.5
test_2032.cpp,31,3,3,12,12,3,0,10.333333333333334,1.0,4.0
test_2575.cpp,48,3,5,21,14,3,6,16.0,1.6666666666666667,7.0
test_2642.cpp,79,16,16,52,17,5,0,4.9375,1.0,3.25
test_571.cpp,33,3,3,12,9,3,0,11.0,1.0,4.0
test_2007.cpp,48,5,13,43,15,2,0,9.6,2.6,8.6
test_713.cpp,40,4,8,34,12,14,4,10.0,2.0,8.5
test_2724.cpp,86,7,7,64,15,9,0,12.285714285714286,1.0,9.142857142857142
test_525.cpp,28,3,4,7,8,1,0,9.333333333333334,1.3333333333333333,2.3333333333333335
test_804.cpp,27,2,3,8,8,2,0,13.5,1.5,4.0
test_2504.cpp,58,5,8,31,14,3,3,11.6,1.6,6.2
test_113.cpp,63,10,12,37,19,3,0,6.3,1.2,3.7
test_153.cpp,69,10,13,43,26,2,6,6.9,1.3,4.3
test_2065.cpp,30,3,5,13,11,6,2,10.0,1.6666666666666667,4.333333333333333
test_779.cpp,28,1,1,7,7,2,0,28.0,1.0,7.0
test_2273.cpp,27,3,3,7,7,1,0,9.0,1.0,2.3333333333333335
test_2235.cpp,33,4,4,13,9,3,0,8.25,1.0,3.25
test_1153.cpp,75,7,7,24,12,9,0,10.714285714285714,1.0,3.4285714285714284
test_1655.cpp,42,10,10,24,17,1,0,4.2,1.0,2.4
test_2011.cpp,66,5,17,55,20,5,1,13.2,3.4,11.0
test_1352.cpp,53,13,13,18,20,3,0,4.076923076923077,1.0,1.3846153846153846
test_1648.cpp,62,8,20,9,4,0,0,7.75,2.5,1.125
test_2137.cpp,98,8,41,82,17,2,19,12.25,5.125,10.25
test_2031.cpp,119,9,44,129,29,7,24,13.222222222222221,4.888888888888889,14.333333333333334
test_2704.cpp,28,4,5,13,7,3,0,7.0,1.25,3.25
test_2377.cpp,31,4,4,8,7,2,0,7.75,1.0,2.0
test_1168.cpp,60,8,7,18,18,4,0,7.5,0.875,2.25
test_1789.cpp,59,6,21,14,7,4,0,9.833333333333334,3.5,2.3333333333333335
test_1147.cpp,39,3,5,13,10,10,2,13.0,1.6666666666666667,4.333333333333333
test_2231.cpp,39,4,8,24,9,2,0,9.75,2.0,6.0
test_2161.cpp,20,2,1,6,7,2,1,10.0,0.5,3.0
test_1854.cpp,41,12,12,12,3,3,0,3.4166666666666665,1.0,1.0
test_663.cpp,48,3,9,29,19,2,6,16.0,3.0,9.666666666666666
test_2346.cpp,54,5,7,26,15,9,0,10.8,1.4,5.2
test_1396.cpp,76,7,8,51,21,5,3,10.857142857142858,1.1428571428571428,7.285714285714286
test_353.cpp,26,1,1,8,6,1,0,26.0,1.0,8.0
test_785.cpp,60,8,14,27,15,2,0,7.5,1.75,3.375
test_2726.cpp,155,10,50,268,32,5,46,15.5,5.0,26.8
test_2072.cpp,27,3,3,8,8,2,0,9.0,1.0,2.6666666666666665
test_45.cpp,88,13,13,52,25,18,2,6.769230769230769,1.0,4.0
test_1133.cpp,71,12,12,41,21,7,0,5.916666666666667,1.0,3.4166666666666665
test_2307.cpp,38,3,5,10,11,4,0,12.666666666666666,1.6666666666666667,3.3333333333333335
test_1913.cpp,91,19,19,58,19,2,0,4.7894736842105265,1.0,3.0526315789473686
test_675.cpp,30,3,5,16,11,2,4,10.0,1.6666666666666667,5.333333333333333
test_1212.cpp,34,2,2,8,8,2,0,17.0,1.0,4.0
test_363.cpp,63,10,10,20,13,3,0,6.3,1.0,2.0
test_1006.cpp,21,3,3,4,4,2,0,7.0,1.0,1.3333333333333333
test_2657.cpp,44,7,15,28,15,2,0,6.285714285714286,2.142857142857143,4.0
test_77.cpp,87,19,19,58,26,18,0,4.578947368421052,1.0,3.0526315789473686
test_2424.cpp,46,4,9,18,12,3,0,11.5,2.25,4.5
test_589.cpp,90,14,19,47,27,1,0,6.428571428571429,1.3571428571428572,3.357142857142857
test_2641.cpp,56,6,7,32,15,1,0,9.333333333333334,1.1666666666666667,5.333333333333333
test_2615.cpp,27,7,7,15,4,0,0,3.857142857142857,1.0,2.142857142857143
test_1813.cpp,65,10,15,31,18,4,0,6.5,1.5,3.1
test_1787.cpp,44,4,4,13,7,1,0,11.0,1.0,3.25
test_222.cpp,54,7,13,37,16,5,12,7.714285714285714,1.8571428571428572,5.285714285714286
test_913.cpp,50,5,7,16,13,3,0,10.0,1.4,3.2
test_2745.cpp,62,10,11,40,18,8,0,6.2,1.1,4.0
test_1211.cpp,55,7,9,29,16,10,0,7.857142857142857,1.2857142857142858,4.142857142857143
test_2243.cpp,62,3,9,45,20,14,3,20.666666666666668,3.0,15.0
test_1734.cpp,48,6,7,16,12,1,0,8.0,1.1666666666666667,2.6666666666666665
test_1299.cpp,48,2,2,13,8,4,0,24.0,1.0,6.5
test_2045.cpp,49,7,7,13,5,9,1,7.0,1.0,1.8571428571428572
test_2277.cpp,71,5,10,35,17,3,0,14.2,2.0,7.0
test_530.cpp,43,6,6,17,19,3,0,7.166666666666667,1.0,2.8333333333333335
test_1486.cpp,30,3,7,23,12,2,4,10.0,2.3333333333333335,7.666666666666667
test_2557.cpp,36,4,6,22,13,3,2,9.0,1.5,5.5
test_450.cpp,69,12,12,23,16,1,0,5.75,1.0,1.9166666666666667
test_1214.cpp,35,5,5,14,12,3,0,7.0,1.0,2.8
test_2359.cpp,48,3,3,7,7,3,0,16.0,1.0,2.3333333333333335
test_1645.cpp,92,6,6,16,5,2,0,15.333333333333334,1.0,2.6666666666666665
test_451.cpp,51,10,10,26,17,3,0,5.1,1.0,2.6
test_628.cpp,97,9,17,19,6,1,0,10.777777777777779,1.8888888888888888,2.111111111111111
test_2255.cpp,66,4,6,25,12,8,4,16.5,1.5,6.25
test_1089.cpp,55,6,7,18,17,2,3,9.166666666666666,1.1666666666666667,3.0
test_1470.cpp,40,7,10,22,6,2,0,5.714285714285714,1.4285714285714286,3.142857142857143
test_2218.cpp,46,6,7,20,6,2,0,7.666666666666667,1.1666666666666667,3.3333333333333335
test_1535.cpp,59,9,9,27,13,3,0,6.555555555555555,1.0,3.0
test_198.cpp,51,5,9,31,16,2,10,10.2,1.8,6.2
test_1381.cpp,19,1,1,3,3,1,0,19.0,1.0,3.0
test_1930.cpp,72,6,12,52,14,11,12,12.0,2.0,8.666666666666666
test_2376.cpp,32,4,3,7,6,1,0,8.0,0.75,1.75
test_2085.cpp,50,4,6,22,19,3,3,12.5,1.5,5.5
test_64.cpp,84,11,15,49,27,15,0,7.636363636363637,1.3636363636363635,4.454545454545454
test_193.cpp,59,14,14,29,22,1,0,4.214285714285714,1.0,2.0714285714285716
test_2705.cpp,48,11,10,21,18,2,0,4.363636363636363,0.9090909090909091,1.9090909090909092
test_499.cpp,20,2,2,5,5,6,0,10.0,1.0,2.5
test_853.cpp,45,4,5,21,15,3,0,11.25,1.25,5.25
test_2254.cpp,28,6,6,3,5,3,0,4.666666666666667,1.0,0.5
test_692.cpp,47,9,9,23,23,4,0,5.222222222222222,1.0,2.5555555555555554
test_1665.cpp,34,5,6,15,15,1,3,6.8,1.2,3.0
test_1321.cpp,41,3,3,12,9,3,0,13.666666666666666,1.0,4.0
test_2154.cpp,40,5,12,29,11,3,7,8.0,2.4,5.8
test_138.cpp,40,4,7,21,12,2,3,10.0,1.75,5.25
test_2700.cpp,98,6,18,93,22,16,0,16.333333333333332,3.0,15.5
test_1606.cpp,24,3,5,9,5,2,0,8.0,1.6666666666666667,3.0
test_918.cpp,39,2,2,10,10,6,0,19.5,1.0,5.0
test_2014.cpp,46,4,10,32,14,4,2,11.5,2.5,8.0
test_819.cpp,40,4,6,22,8,2,0,10.0,1.5,5.5
test_1422.cpp,29,3,3,4,4,4,0,9.666666666666666,1.0,1.3333333333333333
test_2227.cpp,50,4,8,29,17,2,4,12.5,2.0,7.25
test_2289.cpp,106,7,27,101,26,12,19,15.142857142857142,3.857142857142857,14.428571428571429
test_1195.cpp,246,22,31,69,31,48,0,11.181818181818182,1.4090909090909092,3.1363636363636362
test_2436.cpp,39,4,3,13,10,3,0,9.75,0.75,3.25
test_1482.cpp,34,3,3,13,9,3,0,11.333333333333334,1.0,4.333333333333333
test_1729.cpp,74,12,12,25,14,15,0,6.166666666666667,1.0,2.0833333333333335
test_2220.cpp,71,5,10,29,17,3,4,14.2,2.0,5.8
test_612.cpp,27,4,4,14,7,1,0,6.75,1.0,3.5
test_674.cpp,47,4,4,18,9,2,0,11.75,1.0,4.5
test_223.cpp,20,3,3,9,4,3,0,6.666666666666667,1.0,3.0
test_2259.cpp,34,4,4,9,7,2,0,8.5,1.0,2.25
test_933.cpp,49,7,8,20,18,3,2,7.0,1.1428571428571428,2.857142857142857
test_1983.cpp,38,4,4,11,8,1,0,9.5,1.0,2.75
test_190.cpp,29,3,3,7,5,1,0,9.666666666666666,1.0,2.3333333333333335
test_396.cpp,39,5,5,7,5,1,0,7.8,1.0,1.4
test_1186.cpp,106,19,30,41,28,1,0,5.578947368421052,1.5789473684210527,2.1578947368421053
test_1510.cpp,79,9,23,37,8,4,0,8.777777777777779,2.5555555555555554,4.111111111111111
