index,Category,#Error
,Lexical,811
,Syntactic,1022
,Linker,748
,Abstract-Type Instantiation,228
,Access Control,430
,Constexpr/Enum/Assert/Literal,42
,Construction/Initialization,917
,Deleted/Special Member,274
,Functions/Call Resolution,166
,Operator/Call,78
,Override/Inheritance,815
,Incomplete Type,613
,Symbol/Lookup,13018
,Templates/Generics,26
,Type Conversion/Reference Binding,942
,Type Redefinition/Redeclaration,45
,Qualifier/Specifier Misuse,725
,Pointer/Reference Misuse,3
,This/Non-Static Member/Using Misuse,89
