index,Category,%Error
,Lexical,3.86%
,Syntactic,4.87%
,Linker,3.56%
,Abstract-Type Instantiation,1.09%
,Access Control,2.05%
,Constexpr/Enum/Assert/Literal,0.20%
,Construction/Initialization,4.37%
,Deleted/Special Member,1.31%
,Functions/Call Resolution,0.79%
,Operator/Call,0.37%
,Override/Inheritance,3.88%
,Incomplete Type,2.92%
,Symbol/Lookup,62.01%
,Templates/Generics,0.12%
,Type Conversion/Reference Binding,4.49%
,Type Redefinition/Redeclaration,0.21%
,Qualifier/Specifier Misuse,3.45%
,Pointer/Reference Misuse,0.01%
,This/Non-Static Member/Using Misuse,0.42%
