index,Category,#Error,%Error
,Lexical,1599,2.168018005803075%
,Syntactic,3819,5.178024242752936%
,Linker,1221,1.6555034303224234%
,Semantic,67115,90.99845432112157%
,Abstract-Type Instantiation,1620,2.1964910377742224%
,Access Control,2742,3.7177644602326656%
,Constexpr/Enum/Assert/Literal,212,0.28744203704205873%
,Construction/Initialization,3097,4.199094286411585%
,Deleted/Special Member,746,1.0114705643083766%
,Functions/Call Resolution,999,1.3545028066274372%
,Operator/Call,499,0.6765734739810723%
,Override/Inheritance,4186,5.675624372915367%
,Incomplete Type,2621,3.5537055617322446%
,Symbol/Lookup,41915,56.830815955744775%
,Templates/Generics,454,0.6155598340428994%
,Type Conversion/Reference Binding,5325,7.219947392683787%
,Type Redefinition/Redeclaration,260,0.35252325297610976%
,Qualifier/Specifier Misuse,1905,2.5829107573826504%
,Pointer/Reference Misuse,94,0.1274507145375166%
,This/Non-Static Member/Using Misuse,440,0.5965778127288012%
