error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
Abstract-Type Instantiation,11.01478494623656,3.521505376344086,0.5994623655913979,1.635752688172043,1.413978494623656,1.0766129032258065,1.336021505376344,489.77706989247315,17634.82120967742
Access Control,10.562107904642408,3.2835633626097867,0.5759096612296111,0.9899623588456713,0.6762860727728983,1.411543287327478,1.5445420326223338,400.47136762860725,13053.743751568381
Constexpr/Enum/Assert/Literal,12.356435643564357,3.4158415841584158,0.6138613861386139,1.7227722772277227,1.4554455445544554,0.8712871287128713,1.1287128712871286,528.0433663366337,18872.939405940593
Construction/Initialization,10.165526675786595,3.2859097127222983,0.5006839945280438,0.9439124487004104,0.7004103967168263,1.103967168262654,1.4774281805745555,407.74931600547194,16493.30515731874
Deleted/Special Member,15.561338289962825,4.286245353159852,0.7509293680297398,1.3866171003717471,1.0,1.3345724907063197,1.7434944237918215,675.4235687732343,29529.438029739777
Functions/Call Resolution,15.111888111888112,4.2377622377622375,0.7307692307692307,1.7342657342657342,1.3356643356643356,1.0664335664335665,1.7342657342657342,704.1667482517482,27106.181783216784
Incomplete Type,6.872881355932203,2.2658898305084745,0.3559322033898305,0.7923728813559322,0.6260593220338984,1.0720338983050848,1.055084745762712,251.57396186440678,6092.160995762712
Lexical,17.80780780780781,5.457957957957958,0.8123123123123123,2.1921921921921923,1.8018018018018018,1.0765765765765767,1.7312312312312312,729.4346096096097,29072.21761261261
Linker,19.181818181818183,5.636363636363637,1.0,2.3636363636363638,0.5909090909090909,0.8181818181818182,0.9090909090909091,844.8659090909091,41340.28227272727
Operator/Call,16.0,4.277777777777778,0.9444444444444444,1.9444444444444444,1.4027777777777777,0.8472222222222222,1.6041666666666667,713.0547222222223,26777.58923611111
Override/Inheritance,11.776091081593927,3.5702087286527515,0.6290322580645161,1.4174573055028463,1.086337760910816,0.9411764705882353,1.4478178368121442,503.44543643263756,19151.887314990512
Pointer/Reference Misuse,10.342857142857143,3.8,0.42857142857142855,1.6857142857142857,1.5714285714285714,1.1428571428571428,2.142857142857143,483.6422857142857,11541.470571428572
Qualifier/Specifier Missuse,6.043778801843318,2.0276497695852536,0.3064516129032258,0.8087557603686636,0.5276497695852534,0.9930875576036866,0.6267281105990783,220.39612903225807,6809.141221198157
Symbol/Lookup,9.760155180282975,3.0390232770424466,0.4803742583295299,1.2222729347329986,0.8986764034687358,1.1264262893655865,1.0417617526243725,423.5481720675491,19806.771775445002
Syntactic,11.278490028490028,3.22008547008547,0.5413105413105413,1.314102564102564,0.9886039886039886,0.8425925925925926,1.0505698005698005,549.0575,35059.27785612536
Templates/Generics,10.845360824742269,2.8556701030927836,0.4948453608247423,1.2164948453608246,0.9381443298969072,0.36082474226804123,0.6597938144329897,412.59494845360825,11262.859484536084
This/Non-Static Member/Using Misuse,11.745341614906833,3.260869565217391,0.6273291925465838,1.31055900621118,1.0062111801242235,0.8385093167701864,1.4720496894409938,445.81217391304347,16240.397639751553
Type Conversion/Reference Binding,12.372750642673521,3.5295629820051415,0.583547557840617,1.3419023136246786,1.0359897172236503,1.1208226221079691,1.4524421593830334,499.78467866323905,18367.00179948586
Type Redefinition/Redeclaration,8.544303797468354,2.6582278481012658,0.4810126582278481,1.2531645569620253,0.8481012658227848,1.2911392405063291,0.759493670886076,357.3484810126582,10123.637215189872
