log,error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,project
test_58.log,PASS,3,1,0,0,0,3,1,JsonBox
test_16.log,PASS,4,1,0,1,1,0,1,JsonBox
test_23.log,PASS,32,9,3,1,1,3,6,JsonBox
test_43.log,PASS,3,2,0,1,1,1,0,JsonBox
test_2.log,PASS,44,13,2,1,1,1,0,JsonBox
test_37.log,PASS,3,2,0,0,0,0,0,JsonBox
test_41.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_29.log,Symbol/Lookup,8,2,1,1,1,1,1,JsonBox
test_68.log,PASS,18,4,3,2,2,1,1,JsonBox
test_15.log,Symbol/Lookup,31,8,2,1,1,0,1,JsonBox
test_66.log,Symbol/Lookup,11,2,1,3,1,0,1,JsonBox
test_47.log,PASS,3,3,0,1,0,1,0,JsonBox
test_35.log,PASS,3,1,0,0,0,0,0,JsonBox
test_39.log,This/Non-Static Member/Using Misuse,3,1,0,0,0,0,0,JsonBox
test_24.log,Symbol/Lookup,3,1,0,1,1,0,1,JsonBox
test_14.log,Symbol/Lookup,3,1,0,0,0,0,1,JsonBox
test_14.log,Override/Inheritance,3,1,0,0,0,0,1,JsonBox
test_14.log,Syntactic,3,1,0,0,0,0,1,JsonBox
test_22.log,PASS,4,1,0,1,0,0,1,JsonBox
test_72.log,Symbol/Lookup,25,7,1,1,1,0,1,JsonBox
test_72.log,Operator/Call,25,7,1,1,1,0,1,JsonBox
test_63.log,Symbol/Lookup,120,43,12,1,1,4,9,JsonBox
test_63.log,Override/Inheritance,120,43,12,1,1,4,9,JsonBox
test_63.log,Syntactic,120,43,12,1,1,4,9,JsonBox
test_51.log,Symbol/Lookup,3,1,0,0,0,0,1,JsonBox
test_18.log,Symbol/Lookup,4,1,0,1,0,0,0,JsonBox
test_8.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_8.log,Syntactic,3,1,0,0,0,0,0,JsonBox
test_50.log,PASS,3,3,0,1,0,1,0,JsonBox
test_59.log,Symbol/Lookup,3,2,0,1,0,1,0,JsonBox
test_6.log,Symbol/Lookup,6,4,1,0,0,0,0,JsonBox
test_6.log,Syntactic,6,4,1,0,0,0,0,JsonBox
test_62.log,PASS,4,1,0,1,1,0,1,JsonBox
test_27.log,PASS,3,1,0,1,1,1,1,JsonBox
test_26.log,PASS,3,2,0,1,1,1,2,JsonBox
test_55.log,PASS,9,2,1,1,1,2,1,JsonBox
test_67.log,PASS,32,9,2,2,2,4,9,JsonBox
test_71.log,Symbol/Lookup,3,1,0,1,1,2,1,JsonBox
test_71.log,Override/Inheritance,3,1,0,1,1,2,1,JsonBox
test_71.log,Syntactic,3,1,0,1,1,2,1,JsonBox
test_48.log,Symbol/Lookup,9,2,1,1,0,1,1,JsonBox
test_69.log,PASS,21,4,3,2,2,1,2,JsonBox
test_17.log,Symbol/Lookup,4,1,0,1,0,0,1,JsonBox
test_64.log,Functions/Call Resolution,10,2,1,1,1,0,1,JsonBox
test_64.log,Syntactic,10,2,1,1,1,0,1,JsonBox
test_61.log,Symbol/Lookup,5,1,0,0,0,1,1,JsonBox
test_46.log,PASS,3,1,0,0,0,3,1,JsonBox
test_13.log,PASS,8,3,1,1,0,3,0,JsonBox
test_31.log,Symbol/Lookup,12,4,1,1,1,0,1,JsonBox
test_31.log,Operator/Call,12,4,1,1,1,0,1,JsonBox
test_10.log,Symbol/Lookup,3,1,0,0,0,0,0,JsonBox
test_10.log,Qualifier/Specifier Missuse,3,1,0,0,0,0,0,JsonBox
test_20.log,Operator/Call,4,1,0,1,1,0,1,JsonBox
